era,coverage_pct,mom_cagr,rand_cagr,margin_pp,n_rebal
1996-2000,47.45297133270669,34.41585977073252,7.663879480150341,26.751980290582175,48
2000-2004,53.8297048835259,12.65136567238625,7.615344882034769,5.036020790351481,48
2004-2008,58.96756378690055,25.27883170619869,6.583743724040613,18.69508798215808,48
2008-2013,66.93269951483562,12.010298025292343,8.060806757454854,3.949491267837489,60
