seed,cagr_pct
0,4.884729900383555
1,5.18954679375736
2,3.621734008221522
3,4.321597714208991
4,4.3152329848193505
5,3.962898035917539
6,3.9344695256458895
7,4.335827048431362
8,4.781066479678309
9,5.293424393596724
10,4.704043724253215
11,3.544933383540716
12,5.646270181012292
13,5.305311135687574
14,3.9222593262054906
15,4.3733580846172515
16,3.840480646277533
17,4.4867091416735505
18,4.547852047879242
19,4.674792847592402
20,4.9317537828728275
21,4.027352908190518
22,5.343122464832062
23,4.271071168999807
24,4.3108076398442385
25,4.656415429812477
26,4.919912953235306
27,4.0013719086253285
28,4.104434782364752
29,5.476949476916992
30,5.612227153142024
31,4.290123944267421
32,3.9738521705995344
33,4.9310078581361605
34,3.9738306348827246
35,4.612687978955288
36,4.935164464620745
37,5.812773009624639
38,4.6875388908391935
39,4.297739373365039
40,4.874921782425501
41,4.130474150093821
42,3.9744234818166913
43,4.1860906339812765
44,4.546161418655248
45,3.695390420225819
46,5.984689044553648
47,3.7008486612597924
48,3.928458459307338
49,4.729953158162781
50,4.192431144868758
51,4.332191788902429
52,4.16468913296586
53,5.329994226952195
54,3.9296964744805374
55,4.234044789955593
56,4.38499024289527
57,4.068495487550572
58,4.102951768420038
59,4.168812555710177
60,5.696641398147273
61,3.832634350633213
62,4.493120219038538
63,3.2147180773977935
64,4.740113159244874
65,4.204579400357811
66,4.180226377280372
67,4.362760443243219
68,3.248844721410604
69,5.349861031971592
70,5.162377361723425
71,4.539670985082989
72,4.918245093586182
73,4.358015793112391
74,5.1571847571632246
75,4.730739659303995
76,4.617570960209538
77,5.422565253119105
78,4.793414439680177
79,4.256829268766604
80,5.736083005156178
81,4.154763324358779
82,4.831096100785959
83,5.8017413307028365
84,4.501053096687935
85,5.363650653169572
86,4.8696162550198485
87,4.044279147084584
88,4.255590374134299
89,5.013056705010022
90,4.628350786242885
91,4.455800627838302
92,4.020522231043877
93,4.096722752941928
94,4.0036623781878555
95,3.9485279150589303
96,4.8594855188387465
97,4.103968211887898
98,4.022632698733175
99,4.848889850924198
100,4.5203310479716485
101,4.135509399163695
102,4.5974908841105
103,4.916289794163986
104,5.632300389067035
105,5.251635705221669
106,4.9981004194226575
107,4.346922737763914
108,5.739313494126752
109,4.728967390285699
110,4.342344041891089
111,3.536207393068236
112,5.695455037016917
113,5.181984973671772
114,3.595961446687701
115,4.847058302154772
116,5.814994785627925
117,5.32774687571389
118,4.667854902156177
119,4.92675356027199
120,4.702080637703299
121,5.0620611248449965
122,4.534243399982052
123,4.846896560139102
124,3.755217457175042
125,4.980398434972155
126,4.573331023790428
127,4.306015025545684
128,4.8616401981210755
129,4.504662721037356
130,4.378393534243985
131,4.614708393843059
132,3.8589846225275837
133,3.1289108047536818
134,3.974022898694285
135,4.371369270908043
136,4.3065292079104145
137,4.593698020233417
138,5.527490803490553
139,4.825830028628397
140,4.475545609191078
141,4.928767955419544
142,4.633318606855208
143,5.200233096986673
144,3.431104125549367
145,4.0978769670865445
146,5.001851254769396
147,5.021734249544618
148,4.278726511401465
149,4.043851405612275
150,3.5872838769578586
151,4.890110563010475
152,4.794897015848254
153,4.02315133338087
154,4.568649578269768
155,4.426280547183414
156,5.399408806947381
157,4.6769879332566155
158,4.688336907590052
159,4.051610172402187
160,3.672354314751769
161,4.053341615367212
162,4.524630183872813
163,3.521938890910148
164,3.95635407492112
165,4.521871680954259
166,4.197453116926386
167,5.6083901347387055
168,4.035583915379681
169,4.501430950645924
170,4.37847755597276
171,4.948728327699814
172,4.040120850732487
173,4.078421036182611
174,3.779898189675901
175,4.640303816218072
176,4.282114232623613
177,5.193608641592151
178,4.770696725666301
179,4.8309634544831725
180,5.006088111254425
181,5.401288822802819
182,4.679469581014151
183,5.263406538677762
184,4.405392715149659
185,4.023222309094621
186,4.7810070078315725
187,4.127125562654199
188,5.297798230554385
189,3.480839249929657
190,5.470204437489645
191,3.9009717086032847
192,3.6433006980920446
193,4.905444311687268
194,4.4347100183461885
195,4.901315064485101
196,3.726762284368079
197,3.7812875045062366
198,3.714589486295461
199,4.679171614769606
