window,momentum_cagr,rand_mean,rand_p5,rand_p95,rand_max,percentile,edge_vs_rand_mean_pp,benchmark_cagr,n_seeds
full,13.213081843711327,8.472396350724578,7.321532570287959,9.4865197077394,9.961562979343764,100.0,4.740685492986749,12.660641965820707,200
2013-2019,11.837036675321633,9.526304213953349,7.932210312213089,10.814129150626327,11.46470153074537,100.0,2.310732461368284,13.654074685160511,200
2020-2026,14.675638853771943,7.6798704856474975,5.947059996269096,9.306829179432201,11.02466979078962,100.0,6.995768368124446,11.866697101012225,200
