lookback,hold,gate,quality,first_half,full,second_half,mar_f,mar_s,rank_f,rank_s,cfg
6,top10n,True,False,22.19449427892659,19.84445309949978,17.667072637633474,9.57517929544711,10.002412330108745,1,2, 6mo top10n    g=T q=F
12,top10n,True,False,20.04872249360541,18.03529890157165,16.647692860093,7.42940751012593,8.98303255256827,2,3,12mo top10n    g=T q=F
12,top10n,False,False,18.23257219372365,10.217980819377726,3.2708261115970583,5.613257210244171,-4.3938341959276705,3,26,12mo top10n    g=F q=F
3,top10n,True,False,17.567909770150834,19.273529023323512,21.518410292272883,4.948594786671354,13.853749984748154,4,1, 3mo top10n    g=T q=F
12,top10pct,True,False,17.408269555371024,14.234874149164176,11.353154354946415,4.788954571891544,3.6884940474216865,5,8,12mo top10pct  g=T q=F
6,top10pct,True,False,17.335152981281542,14.886633084523517,12.662523504101395,4.715837997802062,4.997863196576667,6,5, 6mo top10pct  g=T q=F
6,top10n,False,False,16.86106872552817,11.958880671850846,7.378653485775,4.24175374204869,-0.28600682174972913,7,17, 6mo top10n    g=F q=F
3,top10n,False,False,15.271759192623824,12.80622365833417,10.86282438971795,2.6524442091443436,3.1981640821932213,8,10, 3mo top10n    g=F q=F
6,top20pct,True,False,14.739395741187169,13.328553749766511,12.187406835356285,2.1200807577076883,4.522746527831556,9,6, 6mo top20pct  g=T q=F
12,top10pct,False,False,14.139835025676128,8.265136810869222,2.8830459813789844,1.5205200421966474,-4.781614326145744,10,27,12mo top10pct  g=F q=F
6,top10pct,False,False,13.76721659836384,9.258894789320047,5.09089431451637,1.1479016148843595,-2.573765993008359,11,22, 6mo top10pct  g=F q=F
12,top20pct,True,False,13.55143011094382,12.325775003268058,11.271823485539525,0.9321151274643391,3.6071631780147957,12,9,12mo top20pct  g=T q=F
6,top20pct,False,False,12.816426508142277,8.597022469537063,4.771092242902442,0.19711152466279636,-2.893568064622287,13,23, 6mo top20pct  g=F q=F
12,top20pct,False,False,12.609509837823277,7.975625277847742,3.680087072847571,-0.009805145656203607,-3.984573234677158,14,25,12mo top20pct  g=F q=F
3,top10pct,True,False,12.330775901404875,12.76226025224263,13.653882767912703,-0.288539082074605,5.989222460387975,15,4, 3mo top10pct  g=T q=F
3,top20pct,True,False,10.08303565240194,10.999374651203532,12.141020843668372,-2.536279331077541,4.476360536143643,16,7, 3mo top20pct  g=T q=F
3,top10pct,False,False,8.600780114921358,6.8330649695540036,5.519791005958097,-4.018534868558122,-2.144869301566632,17,21, 3mo top10pct  g=F q=F
3,top20pct,False,False,7.824632337516668,6.690511823243606,5.773639862449298,-4.794682645962812,-1.8910204450754309,18,20, 3mo top20pct  g=F q=F
12,top10n,True,True,7.7120027690640525,7.532939929279747,7.639126008091979,-4.907312214415428,-0.025534299432750096,19,15,12mo top10n    g=T q=T
12,top10n,False,True,6.6899989840468965,2.934901540329271,-0.4244254814165349,-5.929315999432584,-8.089085788941263,20,28,12mo top10n    g=F q=T
12,top10pct,True,True,6.490457351348611,6.932927482994411,7.426217151179015,-6.128857632130869,-0.23844315634571345,21,16,12mo top10pct  g=T q=T
6,top10n,False,True,6.291567769802997,1.1644898235629642,-3.6003564666417964,-6.327747213676483,-11.265016774166526,22,32, 6mo top10n    g=F q=T
6,top10n,True,True,6.0567453197576615,6.36461497230929,6.800699890897022,-6.562569663721819,-0.8639604166277071,23,18, 6mo top10n    g=T q=T
12,top10pct,False,True,5.966115530368854,-0.985257971652187,-7.438418090975752,-6.653199453110626,-15.10307839850048,24,35,12mo top10pct  g=F q=T
12,top20pct,True,True,3.4364564090474614,5.885230267573061,8.68911987238068,-9.182858574432018,1.0244595648559507,25,12,12mo top20pct  g=T q=T
6,top20pct,False,True,2.768558107080943,-0.0266045858084984,-2.625062841324699,-9.850756876398538,-10.289723148849427,26,30, 6mo top20pct  g=F q=T
6,top20pct,True,True,2.2169515867949574,5.449815076056197,8.919913791614565,-10.402363396684523,1.2552534840898364,27,11, 6mo top20pct  g=T q=T
12,top20pct,False,True,2.0323298176599724,-0.962794221107266,-3.60646906722456,-10.586985165819508,-11.27112937474929,28,33,12mo top20pct  g=F q=T
3,top10n,True,True,1.446851767863966,4.4653391623310945,8.167343638588509,-11.172463215615513,0.5026833310637802,29,13, 3mo top10n    g=T q=T
3,top20pct,True,True,-0.7737722549604698,1.3575946976231543,4.106156172857656,-13.39308723843995,-3.558504134667073,30,24, 3mo top20pct  g=T q=T
3,top10n,False,True,-2.1600016412916867,-1.7469995355470005,-0.7877022207421591,-14.779316624771166,-8.452362528266889,31,29, 3mo top10n    g=F q=T
3,top10pct,True,True,-3.8516485045863025,0.4490079056689744,6.101050678263187,-16.470963488065784,-1.563609629261542,32,19, 3mo top10pct  g=T q=T
3,top20pct,False,True,-6.3581003214923,-5.256363033464795,-3.612616746112085,-18.977415304971778,-11.277277053636814,33,34, 3mo top20pct  g=F q=T
3,top10pct,False,True,-9.801751513114942,-7.196976042961145,-3.4624273114470694,-22.42106649659442,-11.127087618971798,34,31, 3mo top10pct  g=F q=T
6,top10pct,True,True,-13.723370977197836,-3.4274743348824743,7.992307323182213,-26.342685960677315,0.327647015657484,35,14, 6mo top10pct  g=T q=T
6,top10pct,False,True,-14.133882532012551,-11.09514441080407,-8.0380981003768,-26.753197515492033,-15.702758407901529,36,36, 6mo top10pct  g=F q=T
