window,lookback,hold,gate,quality,cagr_net,cagr_gross,margin_net,vol,sharpe,max_dd,in_market,turnover_pct,cost_drag_pp,avg_n_held,n_rebal
full,3,top10pct,False,False,6.8330649695540036,9.682802500413178,-3.1633439927831297,24.58611405920717,0.27792374805953174,-63.56366293400002,98.06074766355141,54.76978400487443,2.5981625796335672,24.323529411764707,204
first_half,3,top10pct,False,False,8.600780114921358,11.472444544594174,-4.018534868558122,23.35725565293535,0.3682273398347841,-47.56657316336174,96.12330686595048,54.29812679329851,2.5761204407103278,19.284313725490197,102
second_half,3,top10pct,False,False,5.519791005958097,8.34774601210575,-2.144869301566632,25.718718700287585,0.21462153967632824,-63.563662934000064,99.11214953271028,55.02536943469569,2.610072761302906,29.362745098039216,102
full,3,top10pct,False,True,-7.196976042961145,-3.5555461198422456,-17.19338500529828,36.262725207753896,-0.19846760004188121,-93.28786974605053,94.08878504672897,80.02468515171307,3.7756758181696437,4.1911764705882355,204
first_half,3,top10pct,False,True,-9.801751513114942,-6.403042063985154,-22.42106649659442,36.88983570093763,-0.26570331168121225,-78.677670227811,88.183092013078,76.90278101480911,3.6312178558764785,3.049019607843137,102
second_half,3,top10pct,False,True,-3.4624273114470694,0.45244022934209926,-11.127087618971798,35.60145969305896,-0.09725520642408159,-78.96240646901263,99.11214953271028,82.65639321018564,3.897234882349465,5.333333333333333,102
full,3,top10pct,True,False,12.76226025224263,14.921891291027901,2.7658512899054966,18.665186487192845,0.6837467314349889,-22.83076375471529,69.7429906542056,39.47100045318817,1.8792164090966734,17.122549019607842,204
first_half,3,top10pct,True,False,12.330775901404877,14.336177943642948,-0.2885390820746032,19.25110027358495,0.6405231766583404,-22.83076375471529,64.03549743110696,36.815984338348926,1.7539523170229554,12.235294117647058,102
second_half,3,top10pct,True,False,13.653882767912705,15.966403340920188,5.9892224603879765,18.001984144876218,0.7584654368112482,-18.162835045772884,74.57943925233644,41.90994478627275,1.9941297706794425,22.00980392156863,102
full,3,top10pct,True,True,0.4490079056689744,3.1568200672271507,-9.547401056668159,26.629379075431263,0.016861373462636876,-67.76237031049305,65.77102803738318,55.31099560794831,2.624947298485436,2.7598039215686274,204
first_half,3,top10pct,True,True,-3.8516485045863025,-1.576412919745107,-16.470963488065784,30.782356455785347,-0.1251251998890556,-67.76237031049305,56.095282578234475,48.63064200479097,2.3116771622903265,1.7352941176470589,102
second_half,3,top10pct,True,True,6.101050678263187,9.285970043513704,-1.563609629261542,21.64747245170142,0.28183662974398027,-38.49522518806173,74.57943925233644,61.50115313267426,2.9142984812985495,3.784313725490196,102
full,3,top20pct,False,False,6.690511823243606,9.132835032809417,-3.3058971390935277,21.650577888304742,0.3090223206863084,-57.205614188656625,98.06074766355141,47.09708548340217,2.2379361892610694,49.10294117647059,204
first_half,3,top20pct,False,False,7.824632337516668,10.31603876979974,-4.794682645962812,20.041507638776437,0.390421343471063,-38.856541934410515,96.12330686595048,47.53221005384495,2.2584262996261373,38.94117647058823,102
second_half,3,top20pct,False,False,5.773639862449298,8.16977558933174,-1.8910204450754309,23.120872697374367,0.24971548167837795,-57.205614188656675,99.11214953271028,46.613499890227025,2.215161965371426,59.26470588235294,102
