arm,window,mom_turnover,rand_turnover,mom_drag_pp,rand_drag_pp,mom_net,rand_net_mean,rand_net_p95,pctile_net,mom_gross,rand_gross_mean,rand_gross_p95,pctile_gross
gated,full,26.98107604547525,69.3013673444795,1.2905186804584634,3.284092473941403,7.461908337891243,4.531227500836389,5.613230814938275,100.0,8.866855444226452,8.080696271002806,9.201541484197705,87.5
ungated,full,25.192962483929726,80.33498495715295,1.2053538745069092,3.797167711321439,13.213081843711327,8.472396350724578,9.4865197077394,100.0,14.594349272635188,12.753860873333775,13.826448950051207,100.0
ungated,2013-2019,25.664177392366618,80.2743740440612,1.2262968787595585,3.7898655772991754,11.837036675321633,9.526304213953349,10.814129150626327,100.0,13.225517664399632,13.840723429208149,15.167713581943367,26.0
ungated,2020-2026,24.8973713798297,79.92999110516541,1.1938110371393917,3.7862333676316045,14.675638853771943,7.6798704856474975,9.306829179432201,100.0,16.061190151638183,11.917332095272764,13.622715506638425,100.0
