lookback_months,skip_recent_month,regime_gate_active,cagr_pct,vol_pct,sharpe,max_dd_pct,in_market_pct,n_months
3,False,False,9.117771216576331,16.89376704311375,0.5397121431417468,-46.31794801133523,98.68473495416501,239
3,False,True,9.117771216576331,16.89376704311375,0.5397121431417468,-46.31794801133523,98.68473495416501,239
3,True,False,5.0922812137302875,17.47671430512783,0.29137520501986836,-62.2460185298257,94.02152251893185,239
3,True,True,5.0922812137302875,17.47671430512783,0.29137520501986836,-62.2460185298257,94.02152251893185,239
6,False,False,8.315415529131553,16.886661549498477,0.49242507198697993,-35.611045589349246,92.52690314866481,239
6,False,True,8.315415529131553,16.886661549498477,0.49242507198697993,-35.611045589349246,92.52690314866481,239
6,True,False,7.438797846584522,18.125936934357252,0.41039521838368914,-50.425439811126104,91.92905540055798,239
6,True,True,7.438797846584522,18.125936934357252,0.41039521838368914,-50.425439811126104,91.92905540055798,239
12,False,False,8.109963933503185,16.37276827651608,0.4953324811379351,-34.218614355735376,89.55759266640095,239
12,False,True,8.109963933503185,16.37276827651608,0.4953324811379351,-34.218614355735376,89.55759266640095,239
12,True,False,8.258345017917158,16.50340151061411,0.5004025995856568,-32.743204516758,90.89278597050617,239
12,True,True,8.258345017917158,16.50340151061411,0.5004025995856568,-32.743204516758,90.89278597050617,239
