date,coverage,n_eligible,momentum_ret,random_ret,margin
1996-07-31,44.969199178644764,133,0.0484040982399017,0.035831168073482425,0.012572930166419277
1996-08-30,44.87704918032787,136,0.07126487453196728,0.06339681117868899,0.00786806335327829
1996-09-30,44.87704918032787,141,0.0007254087872132109,0.02075998905760483,-0.02003458027039162
1996-10-31,44.87704918032787,143,0.04413131613452015,0.07293827701411894,-0.02880696087959879
1996-11-29,44.87704918032787,146,-0.021067873360060017,-0.01757576874285655,-0.0034921046172034682
1996-12-31,45.08196721311475,143,0.11610157765643596,0.05408115876668037,0.06202041888975559
1997-01-31,45.69672131147541,149,-0.010822390227696132,0.018846056154360764,-0.029668446382056894
1997-02-28,45.69672131147541,153,-0.02743588449799156,-0.030281947546196362,0.002846063048204804
1997-03-31,45.69672131147541,150,0.09080416415079412,0.04469017261484442,0.0461139915359497
1997-04-30,45.69672131147541,151,0.03507421478734688,0.06389438170689546,-0.028820166919548577
1997-05-30,45.90163934426229,157,0.033796641891496206,0.04367980858905221,-0.009883166697556005
1997-06-30,46.31147540983606,160,0.09507452053205576,0.08238153537136815,0.012692985160687606
1997-07-31,46.31147540983606,165,-0.039957917187774916,-0.04125025144028488,0.0012923342525099635
1997-08-29,46.72131147540984,164,0.06430253132741384,0.052659450700257425,0.011643080627156417
1997-09-30,47.13114754098361,169,-0.09196975427065276,-0.03800290311424486,-0.053966851156407904
1997-10-31,47.13114754098361,169,-0.004819788479279085,0.03496812228289136,-0.03978791076217045
1997-11-28,47.02258726899384,171,0.004010492430369406,0.019088178347625974,-0.015077685917256568
1997-12-31,47.540983606557376,173,0.0017920506244002766,-0.0021508446515063617,0.003942895275906638
1998-01-30,47.950819672131146,170,0.08578449817692506,0.07591896214077107,0.00986553603615399
1998-02-27,47.85276073619632,175,0.05569403291763446,0.04772276122295606,0.0079712716946784
1998-03-31,47.85276073619632,182,0.01395530844145566,0.004747256407913376,0.009208052033542285
1998-04-30,48.057259713701434,184,-0.0002696650475157547,-0.02870414133107375,0.028434476283557997
1998-05-29,48.16326530612245,180,0.11489748818979632,0.014029451276968096,0.10086803691282822
1998-06-30,48.36734693877551,181,-0.00359836901769216,-0.04363447926782255,0.040036110250130395
1998-07-31,48.97959183673469,181,-0.18185740181757032,-0.1404550603895215,-0.04140234142804883
1998-10-30,49.287169042769854,185,0.06356875722434885,0.052164772502412,0.01140398472193685
1998-11-30,49.290060851926974,188,0.22126906990912634,0.03894050458095227,0.18232856532817407
1998-12-31,49.290060851926974,192,0.14882349391150834,0.005127282785833624,0.1436962111256747
1999-01-29,49.490835030549896,191,-0.07594785402338244,-0.01626977060119952,-0.05967808342218292
1999-02-26,49.490835030549896,186,0.10129767991799846,0.021239797140278224,0.08005788277772023
1999-03-31,49.490835030549896,190,-0.03716218621946369,0.08034708277967524,-0.11750926899913894
1999-04-30,49.38775510204081,195,-0.049288345374143186,-0.006214626475986408,-0.043073718898156775
1999-05-28,49.38775510204081,197,0.03587375894152186,0.028910172901826122,0.006963586039695737
1999-06-30,49.69450101832994,199,-0.019220758133155803,-0.03835506101006238,0.019134302876906574
1999-07-30,50.101832993890014,198,0.012774375347354604,-0.020560538528624536,0.033334913875979144
1999-08-31,50.101832993890014,196,-0.027071180645172045,-0.05101118845056901,0.023940007805396967
1999-10-29,50.71283095723014,199,0.20566658494981818,0.0032675375628269856,0.2023990473869912
1999-11-30,50.61224489795918,197,0.35478309508693384,0.04567330631202356,0.3091097887749103
1999-12-31,50.609756097560975,200,-0.03572098128270336,-0.05252454265244245,0.016803561369739088
2000-01-31,50.81300813008131,201,0.374308313199977,-0.04719423203108423,0.42150254523106123
2000-02-29,50.81300813008131,190,-0.03759810551968369,0.11613969213046484,-0.15373779765014853
2000-03-31,50.609756097560975,201,0.026203532892725156,0.01996045763312138,0.006243075259603777
2000-04-28,50.81300813008131,201,-0.11265643916033356,0.01356810802865208,-0.12622454718898565
2000-05-31,50.709939148073026,200,0.09696973726770017,-0.03293655964823041,0.12990629691593059
2000-06-30,51.6260162601626,199,-0.028259423491441293,0.01131193910371198,-0.03957136259515327
2000-07-31,51.6260162601626,202,0.06585872561010356,0.06082749994110923,0.0050312256689943255
2000-08-31,51.829268292682926,209,-0.007654623228834223,-0.002284239928841451,-0.005370383299992772
2002-03-28,53.535353535353536,231,-0.10368223666381363,-0.03141406418025843,-0.07226817248355519
2003-04-30,56.07287449392713,237,0.09230189575395631,0.08088859294055327,0.01141330281340304
2003-05-30,56.07287449392713,243,0.007732625672255222,0.008196051143360469,-0.0004634254711052468
2003-06-30,56.07287449392713,240,0.046569613504935034,0.029317418370566596,0.017252195134368438
2003-07-31,56.2753036437247,243,0.0699337435425994,0.03809443108714834,0.03183931245545106
2003-08-29,56.2753036437247,249,-0.06001235819341281,-0.014281279878649298,-0.04573107831476351
2003-09-30,56.477732793522264,247,0.1509338849561009,0.07067544682301254,0.08025843813308838
2003-10-31,56.477732793522264,251,0.075219748346906,0.017727348277317083,0.057492400069588924
2003-11-28,56.68016194331984,251,-0.043908211995755266,0.05215049740126306,-0.09605870939701833
2003-12-31,56.68016194331984,252,-0.011386469849066438,0.020427210337008853,-0.03181368018607529
2004-01-30,56.68016194331984,252,0.008928961709957283,0.02476764073166339,-0.015838679021706107
2004-02-27,56.68016194331984,253,0.008934255639336409,-0.0010608202939955856,0.009995075933331994
2004-03-31,56.882591093117405,253,-0.011159830230955837,-0.01687166407598867,0.005711833845032835
2004-04-30,56.96969696969697,253,0.01580545916306597,0.01973097993463932,-0.003925520771573349
2004-05-28,56.96969696969697,254,0.10401958720093085,0.03145099010643088,0.07256859709449998
2004-06-30,56.96969696969697,254,-0.025879119499354286,-0.03509852874143299,0.009219409242078702
2004-07-30,57.17171717171718,255,-0.05374416216125426,0.0029001890834653653,-0.05664435124471962
2004-08-31,57.37373737373738,255,0.06389281494893242,0.028754611454075405,0.03513820349485702
2004-09-30,57.37373737373738,257,0.005829497177678311,0.02229102336845233,-0.01646152619077402
2004-10-29,57.37373737373738,257,0.1568995442779224,0.05671675263425907,0.10018279164366334
2004-11-30,57.57575757575758,258,0.056008710418276854,0.039091972377681874,0.01691673804059498
2004-12-31,57.17171717171718,256,-0.04630266592758745,-0.029188418277583086,-0.017114247650004365
2005-01-31,57.17171717171718,257,0.04664499345376165,0.02384221850002642,0.022802774953735228
2005-02-28,57.17171717171718,258,-0.029825721082877878,-0.012820076406034383,-0.017005644676843495
2005-03-31,57.25806451612904,260,-0.07625434363272446,-0.026869977019241494,-0.049384366613482965
2005-04-29,57.25806451612904,259,0.041101519049649614,0.04048512527052562,0.0006163937791239943
2005-05-31,57.25806451612904,259,0.10675068065447275,0.015406524931891978,0.09134415572258078
2005-06-30,57.25806451612904,259,0.07093667670121906,0.05255039576024321,0.01838628094097585
2005-07-29,57.45967741935484,263,0.029547791882601083,-0.011273446467213859,0.040821238349814944
2005-08-31,58.06451612903226,265,0.05419327583309379,0.012661004120389082,0.0415322717127047
2005-09-30,58.06451612903226,265,-0.06081591443781929,-0.017098773109498134,-0.04371714132832116
2005-10-31,58.266129032258064,266,0.042919475582253966,0.04536286844913853,-0.0024433928668845667
2005-11-30,58.35010060362173,266,0.01769535277729013,0.004832664796278604,0.012862687981011525
2005-12-30,58.752515090543255,268,0.20480183101557978,0.040413770809996724,0.16438806020558305
2006-01-31,58.95372233400402,269,-0.04492254800898472,0.0054516540815301,-0.050374202090514825
2006-02-28,59.154929577464785,271,0.11364990559522178,0.01884541213122203,0.09480449346399976
2006-03-31,59.154929577464785,271,-0.012071381102976753,0.013196175046642162,-0.025267556149618915
2006-04-28,59.55734406438632,274,-0.043026634796731245,-0.030958001415080667,-0.012068633381650578
2006-05-31,59.55734406438632,273,0.04652886758293676,0.0009856229980313397,0.045543244584905426
2006-06-30,59.55734406438632,276,-0.05472487958348129,-0.012407332646447966,-0.042317546937033323
2006-07-31,59.55734406438632,277,0.003549571938283769,0.029125769288082522,-0.025576197349798754
2006-08-31,59.758551307847085,278,0.03540074521691663,0.02804453045459453,0.007356214762322098
2006-09-29,59.758551307847085,279,0.03565929388086697,0.03182202172151564,0.0038372721593513334
2006-10-31,60.160965794768615,279,0.023770748607398397,0.02411803275454022,-0.0003472841471418228
2006-11-30,60.160965794768615,280,-0.01719310992284697,0.007168763380254873,-0.02436187330310184
2006-12-29,60.36217303822937,281,0.05965395291092139,0.02448337417300364,0.03517057873791775
2007-01-31,60.36217303822937,282,0.00951725953259106,-0.005274913039496137,0.014792172572087196
2007-02-28,60.36217303822937,282,0.07039832413606706,0.005619069144909568,0.0647792549911575
2007-03-30,60.96579476861167,286,0.033732061560920144,0.040889653777298536,-0.007157592216378392
2007-04-30,61.16700201207244,289,0.04150972860521124,0.03184627377711491,0.00966345482809633
2007-05-31,60.96579476861167,288,-0.0008898230203076007,-0.02246520689431153,0.02157538387400393
2007-06-29,60.96579476861167,289,-0.016900446755924125,-0.04337968842923601,0.026479241673311883
2007-07-31,60.96579476861167,289,0.01525600215765335,0.005605878827786413,0.009650123329866936
2007-08-31,61.16700201207244,289,0.08926592507877248,0.02609581000683441,0.06317011507193808
2007-09-28,61.77062374245473,292,0.07814533565766957,0.015865570969782423,0.062279764687887144
2007-10-31,62.37424547283702,295,-0.09917675272859973,-0.041054612819852836,-0.05812213990874689
2007-11-30,62.776659959758554,297,-0.024826004967973637,-0.018952916072029886,-0.005873088895943752
2009-05-29,65.13026052104209,300,-0.06465690322210793,-0.0026085595737354596,-0.06204834364837247
2009-06-30,65.33066132264528,296,0.20989119052976196,0.09715745213274948,0.11273373839701248
2009-07-31,65.7314629258517,303,0.11611248692614898,0.05686695658106978,0.0592455303450792
2009-08-31,65.93186372745491,307,0.01813055593779337,0.0426966077002939,-0.024566051762500526
2009-09-30,65.7314629258517,308,-0.10381642892998866,-0.03036178513138998,-0.07345464379859867
2009-10-30,65.93186372745491,307,0.045775892559114593,0.05309719432244754,-0.007321301763332948
2009-11-30,66.13226452905812,309,0.002638208830780342,0.039878256107389994,-0.03724004727660965
2009-12-31,66.33266533066133,316,-0.09038236145195214,-0.03515339593853314,-0.055228965513419
2010-01-29,66.53306613226452,315,0.0767593490754627,0.035953126974112196,0.0408062221013505
2010-02-26,67.06827309236948,318,0.13168745609195545,0.07015034458148126,0.061537111510474196
2010-03-31,67.13426853707415,321,0.01284659098785701,0.03475362032189884,-0.02190702933404183
2010-04-30,67.13426853707415,323,-0.07311486725316353,-0.0724726470117916,-0.0006422202413719352
2010-09-30,67.40442655935614,322,0.034450275028165,0.03277857417742086,0.00167170085074414
2010-10-29,67.40442655935614,323,0.04102523550968494,0.008331111362501543,0.032694124147183395
2010-11-30,67.40442655935614,323,0.07619210066586245,0.07279361446662684,0.0033984861992356064
2010-12-31,67.40442655935614,324,-0.024665772914597706,0.022134128795044797,-0.0467999017096425
2011-01-31,67.40442655935614,323,0.10807139740280317,0.037164387221396936,0.07090701018140623
2011-02-28,67.40442655935614,324,0.000730681335536365,0.00908325088735316,-0.008352569551816796
2011-03-31,67.40442655935614,324,-0.0016432515019073168,0.028747152711863865,-0.03039040421377118
2011-04-29,67.80684104627767,325,-0.021305902532821375,-0.00449245846547648,-0.016813444067344897
2011-05-31,67.80684104627767,325,-0.04006873303419191,-0.017379892919507544,-0.022688840114684364
2011-06-30,67.80684104627767,324,-0.031235109419355887,-0.03349146469907232,0.002256355279716432
2011-07-29,68.2092555331992,325,-0.04296815390105092,-0.059848597007972695,0.016880443106921772
2011-12-30,69.21529175050301,330,-0.005060980776225044,0.05515379287629314,-0.060214773652518185
2012-01-31,69.21529175050301,332,0.06885300928743454,0.03853942570405173,0.030313583583382812
2012-02-29,69.21529175050301,332,0.04825241055333183,0.024363842597667853,0.023888567955663974
2012-03-30,69.41649899396378,334,-0.015065088774666535,-0.0063885361759828665,-0.00867655259868367
2012-04-30,69.61770623742454,335,-0.051029924707483396,-0.06702431556838964,0.015994390860906246
2012-05-31,69.81891348088531,336,0.06698529804464806,0.03778610148592767,0.029199196558720393
2012-06-29,70.22132796780684,337,-0.02518815603590623,0.006189526681190221,-0.03137768271709645
2012-07-31,70.4225352112676,338,0.0711774931780645,0.03001184794114891,0.04116564523691559
2012-08-31,70.4225352112676,338,0.07547963057918491,0.024593838546625755,0.05088579203255916
2012-09-28,70.62374245472837,341,0.039844193162721545,-0.003980218432240964,0.04382441159496251
2012-10-31,70.82494969818913,341,0.036154037058790146,0.01570493684259216,0.020449100216197988
2012-11-30,70.82494969818913,340,0.02920241531930713,0.023834469360322838,0.00536794595898429
2012-12-31,71.42857142857143,345,0.0,0.0,0.0
