window,lookback_months,skip_recent_month,regime_gate_active,cagr_pct,vol_pct,sharpe,max_dd_pct,in_market_pct,n_months
full,3,False,False,9.117771216576331,16.89376704311375,0.5397121431417468,-46.31794801133523,98.68473495416501,239
full,3,False,True,9.117771216576331,16.89376704311375,0.5397121431417468,-46.31794801133523,98.68473495416501,239
full,3,True,False,5.0922812137302875,17.47671430512783,0.29137520501986836,-62.2460185298257,94.02152251893185,239
full,3,True,True,5.0922812137302875,17.47671430512783,0.29137520501986836,-62.2460185298257,94.02152251893185,239
full,6,False,False,8.315415529131553,16.886661549498477,0.49242507198697993,-35.611045589349246,92.52690314866481,239
full,6,False,True,8.315415529131553,16.886661549498477,0.49242507198697993,-35.611045589349246,92.52690314866481,239
full,6,True,False,7.438797846584522,18.125936934357252,0.41039521838368914,-50.425439811126104,91.92905540055798,239
full,6,True,True,7.438797846584522,18.125936934357252,0.41039521838368914,-50.425439811126104,91.92905540055798,239
full,12,False,False,8.109963933503185,16.37276827651608,0.4953324811379351,-34.218614355735376,89.55759266640095,239
full,12,False,True,8.109963933503185,16.37276827651608,0.4953324811379351,-34.218614355735376,89.55759266640095,239
full,12,True,False,8.258345017917158,16.50340151061411,0.5004025995856568,-32.743204516758006,90.89278597050617,239
full,12,True,True,8.258345017917158,16.50340151061411,0.5004025995856568,-32.743204516758006,90.89278597050617,239
first_half,3,False,False,6.5580351173861295,16.277457559420345,0.4028906291689737,-45.78537066979391,97.36946990833,120
first_half,3,False,True,6.5580351173861295,16.277457559420345,0.4028906291689737,-45.78537066979391,97.36946990833,120
first_half,3,True,False,1.102801624278671,17.269142408139295,0.06385966356724802,-59.987228765982245,90.3148664806696,120
first_half,3,True,True,1.102801624278671,17.269142408139295,0.06385966356724802,-59.987228765982245,90.3148664806696,120
first_half,6,False,False,7.494981485423979,14.895710725189707,0.5031637377832152,-31.994843639714997,85.05380629732961,120
first_half,6,False,True,7.494981485423979,14.895710725189707,0.5031637377832152,-31.994843639714997,85.05380629732961,120
first_half,6,True,False,7.957847045405764,16.006473026346786,0.49716430548485496,-33.300196610841105,83.85811080111598,120
first_half,6,True,True,7.957847045405764,16.006473026346786,0.49716430548485496,-33.300196610841105,83.85811080111598,120
first_half,12,False,False,6.340566993093,14.881706193642334,0.4260645191209175,-34.20904634480315,79.11518533280191,120
first_half,12,False,True,6.340566993093,14.881706193642334,0.4260645191209175,-34.20904634480315,79.11518533280191,120
first_half,12,True,False,7.942897517424363,15.309805399611912,0.5188111350929194,-31.11152025464291,81.78557194101236,120
first_half,12,True,True,7.942897517424363,15.309805399611912,0.5188111350929194,-31.11152025464291,81.78557194101236,120
second_half,3,False,False,12.043624072949676,17.24660571612065,0.6983185138680551,-29.91783056117444,97.09047429254683,119
second_half,3,False,True,12.043624072949676,17.24660571612065,0.6983185138680551,-29.91783056117444,97.09047429254683,119
second_half,3,True,False,10.005502751915563,17.368651695945662,0.5760667510104502,-26.97172874599989,96.2534874451973,119
second_half,3,True,True,10.005502751915563,17.368651695945662,0.5760667510104502,-26.97172874599989,96.2534874451973,119
second_half,6,False,False,6.628299492945278,17.993540217195054,0.3683710605548939,-35.61104558934927,94.1410920685532,119
second_half,6,False,True,6.628299492945278,17.993540217195054,0.3683710605548939,-35.61104558934927,94.1410920685532,119
second_half,6,True,False,4.480832767640974,19.44747619742663,0.2304069032995601,-50.42543981112615,93.7026703866082,119
second_half,6,True,True,4.480832767640974,19.44747619742663,0.2304069032995601,-50.42543981112615,93.7026703866082,119
second_half,12,False,False,7.431670841479532,17.343148131830475,0.4285076034056315,-26.037138496898848,84.49581506576325,119
second_half,12,False,True,7.431670841479532,17.343148131830475,0.4285076034056315,-26.037138496898848,84.49581506576325,119
second_half,12,True,False,6.3735432705999795,17.264009293206676,0.36918094530382034,-32.74320451675793,84.0175368672778,119
second_half,12,True,True,6.3735432705999795,17.264009293206676,0.36918094530382034,-32.74320451675793,84.0175368672778,119
