arm,window,cagr_pct,vol_pct,sharpe,max_dd_pct,in_market_pct,avg_turnover_pct,rebals_per_year,ann_cost_drag_pp,n_rebalances,avg_n_held,years,mean_monthly_ret_pct
benchmark,full,12.660641965820707,17.3573183921716,0.7294123250934221,-39.58947765432488,99.38398357289527,3.4532679288494452,12.027424242424242,0.16603556461033397,163,426.8282208588957,13.552361396303901,1.1015914036151564
benchmark,2013-2019,13.654074685160511,12.913011017284862,1.0573889131577205,-19.43539212334795,98.86492622020431,3.164960729363566,12.012920908379014,0.15200135845664375,84,391.51190476190476,6.992470910335387,1.1422611498361046
benchmark,2020-2026,11.866697101012225,21.06910424119044,0.563227414187483,-39.58947765432544,98.72495446265937,4.35084290331345,12.052944862155389,0.20961296729179457,79,464.37974683544303,6.55441478439425,1.093271681063531
primary (gate ON),full,7.461908337891243,14.828709372390133,0.5032068638275909,-25.47318961608137,84.04224112643004,26.98107604547525,12.027424242424242,1.2905186804584634,163,71.14110429447852,13.552361396303901,0.665403212121564
primary (gate ON),2013-2019,7.889643503985777,13.605135966250101,0.5799018490926813,-23.151816470450925,88.36549375709421,27.68702040948939,12.012920908379014,1.322450333953895,84,68.94047619047619,6.992470910335387,0.6898849498090635
primary (gate ON),2020-2026,6.980288231609455,15.96333794754448,0.43726996537608104,-25.473189616081594,78.20279295689132,26.435899191141175,12.052944862155389,1.2673093899815635,79,73.48101265822785,6.55441478439425,0.6478107376516564
secondary (gate OFF),full,13.213081843711327,18.470301999749182,0.7153690201649521,-35.10978628382881,99.38398357289527,25.192962483929726,12.027424242424242,1.2053538745069092,163,84.5398773006135,13.552361396303901,1.1390759840784614
secondary (gate OFF),2013-2019,11.837036675321633,14.671476805025396,0.8068060790763144,-21.115094290371616,98.86492622020431,25.664177392366618,12.012920908379014,1.2262968787595585,84,77.35714285714286,6.992470910335387,1.00360776234797
secondary (gate OFF),2020-2026,14.675638853771943,21.76435363947234,0.6742970224098851,-35.109786283828626,98.72495446265937,24.8973713798297,12.052944862155389,1.1938110371393917,79,92.17721518987342,6.55441478439425,1.2977593993989223
