rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,avg_hold_days,projected_oos_n
2,5,close>5SMA,nostop,1888,69.4385593220339,0.6198115623714577,1.6421689949377187,5.227224576271187,851
2,5,close>5SMA,2xATR,1898,68.28240252897787,0.4065904795373448,1.353605375404028,4.31822971548999,856
2,5,RSI>65,nostop,1883,70.36643653744025,0.735173200343333,1.737658166929225,6.0541688794476896,849
2,5,RSI>65,2xATR,1894,68.69060190073918,0.47869495414456925,1.392663901105432,4.824709609292503,854
2,5,RSI>70,nostop,1878,70.66027689030884,0.8614668847592046,1.8238577228271953,6.998935037273696,847
2,5,RSI>70,2xATR,1890,68.83597883597884,0.5582990529710997,1.4268010549119925,5.449735449735449,852
2,5,time5d,nostop,1894,58.02534318901795,0.6579738365409569,1.4648171129944225,7.166842661034847,854
2,5,time5d,2xATR,1900,57.10526315789474,0.5403391396941798,1.3602961111314877,6.719473684210526,857
2,10,close>5SMA,nostop,4530,67.24061810154525,0.46101544845614173,1.444745171980961,5.324061810154525,2021
2,10,close>5SMA,2xATR,4585,66.04143947655398,0.22867231319970283,1.1844755257650725,4.348309705561614,2046
2,10,RSI>65,nostop,4496,68.63879003558719,0.5694687309932936,1.536224381490849,6.158140569395018,2006
2,10,RSI>65,2xATR,4554,66.99604743083005,0.2807371568667706,1.2138445037336676,4.85024154589372,2032
2,10,RSI>70,nostop,4458,69.58277254374158,0.7008137013097487,1.6423581613515594,7.0807537012113055,1989
2,10,RSI>70,2xATR,4519,67.18300508962159,0.3343087825610357,1.2376797978880714,5.4396990484620495,2017
2,10,time5d,nostop,4500,56.111111111111114,0.5396604986867805,1.3712731331262114,7.181555555555556,2008
2,10,time5d,2xATR,4539,54.85789821546596,0.41438904847407876,1.266912940777191,6.689579202467504,2025
2,15,close>5SMA,nostop,7042,65.63476285146265,0.30606940435808483,1.2815597590773882,5.368219255893212,3142
2,15,close>5SMA,2xATR,7176,64.54849498327759,0.07514239057796775,1.0579086524454435,4.335841694537347,3202
2,15,RSI>65,nostop,6933,66.89744699264388,0.40856423761179117,1.3689200230450966,6.1738064330015865,3093
2,15,RSI>65,2xATR,7078,65.41395874540831,0.1202272503537432,1.0878445809408752,4.8024865781294155,3158
2,15,RSI>70,nostop,6823,67.69749377106844,0.5466580280533947,1.4839068824697288,7.116810787043822,3044
2,15,RSI>70,2xATR,6976,65.61066513761467,0.1837318855448335,1.1263334244531753,5.405963302752293,3113
2,15,time5d,nostop,6873,53.513749454386726,0.3340771683319089,1.217750599929252,7.192783355157864,3067
2,15,time5d,2xATR,6979,52.44304341596218,0.21916856548032415,1.134228107666857,6.683049147442327,3114
2,20,close>5SMA,nostop,9358,64.46890361188288,0.1831733651581795,1.1627352939412225,5.370805727719598,4168
2,20,close>5SMA,2xATR,9618,63.464337700145556,-0.04268739465575705,0.9681357029285897,4.2963194011228945,4284
2,20,RSI>65,nostop,9151,65.62124357993662,0.27115030016436886,1.2356356969452167,6.171019560703749,4076
2,20,RSI>65,2xATR,9434,64.19334322662709,0.00062716942141653,1.0004458621223842,4.74560101759593,4202
2,20,RSI>70,nostop,8909,66.31496239757548,0.38219482804524,1.3230797400153258,7.156246492311146,3968
2,20,RSI>70,2xATR,9208,64.3462206776716,0.041848359844787075,1.0279087077585016,5.365008688097307,4101
2,20,time5d,nostop,8952,52.49106344950849,0.19977283021831177,1.1236391542948196,7.198949955317247,3987
2,20,time5d,2xATR,9135,51.43951833607006,0.09471738871353039,1.0555585550596507,6.666119321291735,4069
3,5,close>5SMA,nostop,95,62.10526315789474,0.4225343825809665,1.4564176402911866,5.968421052631579,60
3,5,close>5SMA,2xATR,95,60.0,-0.01178366604238809,0.9911297868853457,4.926315789473684,60
3,5,RSI>65,nostop,95,65.26315789473685,0.6584378141125496,1.5182380469776284,11.326315789473684,60
3,5,RSI>65,2xATR,95,57.89473684210527,-0.3398950486729042,0.8386213413756444,7.6,60
3,5,RSI>70,nostop,95,63.1578947368421,0.8295651361624348,1.582009442789683,14.4,60
3,5,RSI>70,2xATR,95,54.736842105263165,-0.3138950273447358,0.8683262715617285,8.652631578947368,60
