cell,year,n_trades
2|20|RSI>65|nostop,1983,14
2|20|RSI>65|nostop,1985,4
2|20|RSI>65|nostop,1986,8
2|20|RSI>65|nostop,1987,18
2|20|RSI>65|nostop,1988,3
2|20|RSI>65|nostop,1989,20
2|20|RSI>65|nostop,1990,9
2|20|RSI>65|nostop,1991,35
2|20|RSI>65|nostop,1992,25
2|20|RSI>65|nostop,1993,60
2|20|RSI>65|nostop,1994,34
2|20|RSI>65|nostop,1995,133
2|20|RSI>65|nostop,1996,189
2|20|RSI>65|nostop,1997,300
2|20|RSI>65|nostop,1998,290
2|20|RSI>65|nostop,1999,391
2|20|RSI>65|nostop,2000,302
2|20|RSI>65|nostop,2002,34
2|20|RSI>65|nostop,2003,530
2|20|RSI>65|nostop,2004,642
2|20|RSI>65|nostop,2005,835
2|20|RSI>65|nostop,2006,784
2|20|RSI>65|nostop,2007,934
2|20|RSI>65|nostop,2009,578
2|20|RSI>65|nostop,2010,920
2|20|RSI>65|nostop,2011,825
2|20|RSI>65|nostop,2012,1227
2|20|RSI>65|2xATR,1982,7
2|20|RSI>65|2xATR,1983,15
2|20|RSI>65|2xATR,1985,4
2|20|RSI>65|2xATR,1986,8
2|20|RSI>65|2xATR,1987,20
2|20|RSI>65|2xATR,1988,4
2|20|RSI>65|2xATR,1989,21
2|20|RSI>65|2xATR,1990,10
2|20|RSI>65|2xATR,1991,36
2|20|RSI>65|2xATR,1992,27
2|20|RSI>65|2xATR,1993,61
2|20|RSI>65|2xATR,1994,34
2|20|RSI>65|2xATR,1995,137
2|20|RSI>65|2xATR,1996,195
2|20|RSI>65|2xATR,1997,309
2|20|RSI>65|2xATR,1998,310
2|20|RSI>65|2xATR,1999,401
2|20|RSI>65|2xATR,2000,308
2|20|RSI>65|2xATR,2002,35
2|20|RSI>65|2xATR,2003,545
2|20|RSI>65|2xATR,2004,663
2|20|RSI>65|2xATR,2005,863
2|20|RSI>65|2xATR,2006,814
2|20|RSI>65|2xATR,2007,975
2|20|RSI>65|2xATR,2009,581
2|20|RSI>65|2xATR,2010,946
2|20|RSI>65|2xATR,2011,842
2|20|RSI>65|2xATR,2012,1263
2|20|RSI>70|nostop,1982,6
2|20|RSI>70|nostop,1983,14
2|20|RSI>70|nostop,1985,4
2|20|RSI>70|nostop,1986,8
2|20|RSI>70|nostop,1987,18
2|20|RSI>70|nostop,1988,3
2|20|RSI>70|nostop,1989,20
2|20|RSI>70|nostop,1990,8
2|20|RSI>70|nostop,1991,35
2|20|RSI>70|nostop,1992,25
2|20|RSI>70|nostop,1993,60
2|20|RSI>70|nostop,1994,34
2|20|RSI>70|nostop,1995,130
2|20|RSI>70|nostop,1996,180
2|20|RSI>70|nostop,1997,296
2|20|RSI>70|nostop,1998,287
2|20|RSI>70|nostop,1999,381
2|20|RSI>70|nostop,2000,292
2|20|RSI>70|nostop,2002,33
2|20|RSI>70|nostop,2003,513
2|20|RSI>70|nostop,2004,628
2|20|RSI>70|nostop,2005,810
2|20|RSI>70|nostop,2006,768
2|20|RSI>70|nostop,2007,913
2|20|RSI>70|nostop,2009,558
2|20|RSI>70|nostop,2010,886
2|20|RSI>70|nostop,2011,797
2|20|RSI>70|nostop,2012,1202
2|20|RSI>70|2xATR,1982,6
2|20|RSI>70|2xATR,1983,15
2|20|RSI>70|2xATR,1985,4
2|20|RSI>70|2xATR,1986,8
2|20|RSI>70|2xATR,1987,20
2|20|RSI>70|2xATR,1988,4
2|20|RSI>70|2xATR,1989,21
2|20|RSI>70|2xATR,1990,9
2|20|RSI>70|2xATR,1991,36
2|20|RSI>70|2xATR,1992,27
2|20|RSI>70|2xATR,1993,61
2|20|RSI>70|2xATR,1994,34
2|20|RSI>70|2xATR,1995,135
2|20|RSI>70|2xATR,1996,187
2|20|RSI>70|2xATR,1997,305
2|20|RSI>70|2xATR,1998,307
2|20|RSI>70|2xATR,1999,391
2|20|RSI>70|2xATR,2000,300
2|20|RSI>70|2xATR,2002,34
2|20|RSI>70|2xATR,2003,529
2|20|RSI>70|2xATR,2004,649
2|20|RSI>70|2xATR,2005,843
2|20|RSI>70|2xATR,2006,799
2|20|RSI>70|2xATR,2007,955
2|20|RSI>70|2xATR,2009,561
2|20|RSI>70|2xATR,2010,914
2|20|RSI>70|2xATR,2011,816
2|20|RSI>70|2xATR,2012,1238
2|20|time5d|nostop,1982,6
2|20|time5d|nostop,1983,15
2|20|time5d|nostop,1985,4
2|20|time5d|nostop,1986,8
2|20|time5d|nostop,1987,18
2|20|time5d|nostop,1988,4
2|20|time5d|nostop,1989,20
2|20|time5d|nostop,1990,7
2|20|time5d|nostop,1991,35
2|20|time5d|nostop,1992,26
2|20|time5d|nostop,1993,58
2|20|time5d|nostop,1994,33
2|20|time5d|nostop,1995,133
2|20|time5d|nostop,1996,185
2|20|time5d|nostop,1997,293
2|20|time5d|nostop,1998,285
2|20|time5d|nostop,1999,378
2|20|time5d|nostop,2000,291
2|20|time5d|nostop,2002,34
2|20|time5d|nostop,2003,512
2|20|time5d|nostop,2004,631
2|20|time5d|nostop,2005,828
2|20|time5d|nostop,2006,771
2|20|time5d|nostop,2007,922
2|20|time5d|nostop,2009,543
2|20|time5d|nostop,2010,892
2|20|time5d|nostop,2011,810
2|20|time5d|nostop,2012,1210
2|20|time5d|2xATR,1982,6
2|20|time5d|2xATR,1983,15
2|20|time5d|2xATR,1985,4
2|20|time5d|2xATR,1986,8
2|20|time5d|2xATR,1987,20
2|20|time5d|2xATR,1988,4
2|20|time5d|2xATR,1989,21
2|20|time5d|2xATR,1990,8
2|20|time5d|2xATR,1991,35
2|20|time5d|2xATR,1992,27
2|20|time5d|2xATR,1993,59
2|20|time5d|2xATR,1994,33
2|20|time5d|2xATR,1995,136
2|20|time5d|2xATR,1996,189
2|20|time5d|2xATR,1997,299
2|20|time5d|2xATR,1998,298
2|20|time5d|2xATR,1999,384
2|20|time5d|2xATR,2000,295
2|20|time5d|2xATR,2002,35
2|20|time5d|2xATR,2003,521
2|20|time5d|2xATR,2004,642
2|20|time5d|2xATR,2005,846
2|20|time5d|2xATR,2006,790
2|20|time5d|2xATR,2007,950
2|20|time5d|2xATR,2009,543
2|20|time5d|2xATR,2010,910
2|20|time5d|2xATR,2011,822
2|20|time5d|2xATR,2012,1235
3|5|close>5SMA|nostop,1991,1
3|5|close>5SMA|nostop,1992,3
3|5|close>5SMA|nostop,1993,1
3|5|close>5SMA|nostop,1995,2
3|5|close>5SMA|nostop,1996,2
3|5|close>5SMA|nostop,1997,3
3|5|close>5SMA|nostop,1998,6
3|5|close>5SMA|nostop,1999,5
3|5|close>5SMA|nostop,2000,2
3|5|close>5SMA|nostop,2003,4
3|5|close>5SMA|nostop,2004,5
3|5|close>5SMA|nostop,2005,6
3|5|close>5SMA|nostop,2006,9
3|5|close>5SMA|nostop,2007,18
3|5|close>5SMA|nostop,2009,3
3|5|close>5SMA|nostop,2010,6
3|5|close>5SMA|nostop,2011,5
3|5|close>5SMA|nostop,2012,14
3|5|close>5SMA|2xATR,1991,1
3|5|close>5SMA|2xATR,1992,3
3|5|close>5SMA|2xATR,1993,1
3|5|close>5SMA|2xATR,1995,2
3|5|close>5SMA|2xATR,1996,2
3|5|close>5SMA|2xATR,1997,3
3|5|close>5SMA|2xATR,1998,6
3|5|close>5SMA|2xATR,1999,5
3|5|close>5SMA|2xATR,2000,2
3|5|close>5SMA|2xATR,2003,4
3|5|close>5SMA|2xATR,2004,5
3|5|close>5SMA|2xATR,2005,6
3|5|close>5SMA|2xATR,2006,9
3|5|close>5SMA|2xATR,2007,18
3|5|close>5SMA|2xATR,2009,3
3|5|close>5SMA|2xATR,2010,6
3|5|close>5SMA|2xATR,2011,5
3|5|close>5SMA|2xATR,2012,14
3|5|RSI>65|nostop,1991,1
3|5|RSI>65|nostop,1992,3
3|5|RSI>65|nostop,1993,1
3|5|RSI>65|nostop,1995,2
3|5|RSI>65|nostop,1996,2
3|5|RSI>65|nostop,1997,3
3|5|RSI>65|nostop,1998,6
3|5|RSI>65|nostop,1999,5
3|5|RSI>65|nostop,2000,2
3|5|RSI>65|nostop,2003,4
3|5|RSI>65|nostop,2004,5
3|5|RSI>65|nostop,2005,6
3|5|RSI>65|nostop,2006,9
3|5|RSI>65|nostop,2007,18
3|5|RSI>65|nostop,2009,3
3|5|RSI>65|nostop,2010,6
3|5|RSI>65|nostop,2011,5
3|5|RSI>65|nostop,2012,14
3|5|RSI>65|2xATR,1991,1
3|5|RSI>65|2xATR,1992,3
3|5|RSI>65|2xATR,1993,1
3|5|RSI>65|2xATR,1995,2
3|5|RSI>65|2xATR,1996,2
3|5|RSI>65|2xATR,1997,3
3|5|RSI>65|2xATR,1998,6
3|5|RSI>65|2xATR,1999,5
3|5|RSI>65|2xATR,2000,2
3|5|RSI>65|2xATR,2003,4
3|5|RSI>65|2xATR,2004,5
3|5|RSI>65|2xATR,2005,6
3|5|RSI>65|2xATR,2006,9
3|5|RSI>65|2xATR,2007,18
3|5|RSI>65|2xATR,2009,3
3|5|RSI>65|2xATR,2010,6
3|5|RSI>65|2xATR,2011,5
3|5|RSI>65|2xATR,2012,14
3|5|RSI>70|nostop,1991,1
3|5|RSI>70|nostop,1992,3
3|5|RSI>70|nostop,1993,1
3|5|RSI>70|nostop,1995,2
3|5|RSI>70|nostop,1996,2
3|5|RSI>70|nostop,1997,3
3|5|RSI>70|nostop,1998,6
3|5|RSI>70|nostop,1999,5
3|5|RSI>70|nostop,2000,2
3|5|RSI>70|nostop,2003,4
3|5|RSI>70|nostop,2004,5
3|5|RSI>70|nostop,2005,6
3|5|RSI>70|nostop,2006,9
3|5|RSI>70|nostop,2007,18
3|5|RSI>70|nostop,2009,3
3|5|RSI>70|nostop,2010,6
3|5|RSI>70|nostop,2011,5
3|5|RSI>70|nostop,2012,14
3|5|RSI>70|2xATR,1991,1
3|5|RSI>70|2xATR,1992,3
3|5|RSI>70|2xATR,1993,1
3|5|RSI>70|2xATR,1995,2
3|5|RSI>70|2xATR,1996,2
3|5|RSI>70|2xATR,1997,3
3|5|RSI>70|2xATR,1998,6
3|5|RSI>70|2xATR,1999,5
3|5|RSI>70|2xATR,2000,2
3|5|RSI>70|2xATR,2003,4
3|5|RSI>70|2xATR,2004,5
3|5|RSI>70|2xATR,2005,6
3|5|RSI>70|2xATR,2006,9
3|5|RSI>70|2xATR,2007,18
3|5|RSI>70|2xATR,2009,3
3|5|RSI>70|2xATR,2010,6
3|5|RSI>70|2xATR,2011,5
3|5|RSI>70|2xATR,2012,14
3|5|time5d|nostop,1991,1
3|5|time5d|nostop,1992,3
3|5|time5d|nostop,1993,1
3|5|time5d|nostop,1995,2
3|5|time5d|nostop,1996,2
3|5|time5d|nostop,1997,3
3|5|time5d|nostop,1998,6
3|5|time5d|nostop,1999,5
3|5|time5d|nostop,2000,2
3|5|time5d|nostop,2003,4
3|5|time5d|nostop,2004,5
3|5|time5d|nostop,2005,6
3|5|time5d|nostop,2006,9
3|5|time5d|nostop,2007,18
3|5|time5d|nostop,2009,3
3|5|time5d|nostop,2010,6
3|5|time5d|nostop,2011,5
3|5|time5d|nostop,2012,14
3|5|time5d|2xATR,1991,1
3|5|time5d|2xATR,1992,3
3|5|time5d|2xATR,1993,1
3|5|time5d|2xATR,1995,2
3|5|time5d|2xATR,1996,2
3|5|time5d|2xATR,1997,3
3|5|time5d|2xATR,1998,6
3|5|time5d|2xATR,1999,5
3|5|time5d|2xATR,2000,2
3|5|time5d|2xATR,2003,4
3|5|time5d|2xATR,2004,5
3|5|time5d|2xATR,2005,6
3|5|time5d|2xATR,2006,9
3|5|time5d|2xATR,2007,18
3|5|time5d|2xATR,2009,3
3|5|time5d|2xATR,2010,6
3|5|time5d|2xATR,2011,5
3|5|time5d|2xATR,2012,14
3|10|close>5SMA|nostop,1983,3
3|10|close>5SMA|nostop,1985,2
3|10|close>5SMA|nostop,1986,1
3|10|close>5SMA|nostop,1987,2
3|10|close>5SMA|nostop,1988,1
3|10|close>5SMA|nostop,1989,3
3|10|close>5SMA|nostop,1990,2
3|10|close>5SMA|nostop,1991,4
3|10|close>5SMA|nostop,1992,4
3|10|close>5SMA|nostop,1993,6
3|10|close>5SMA|nostop,1994,1
3|10|close>5SMA|nostop,1995,12
3|10|close>5SMA|nostop,1996,13
3|10|close>5SMA|nostop,1997,21
3|10|close>5SMA|nostop,1998,28
3|10|close>5SMA|nostop,1999,35
3|10|close>5SMA|nostop,2000,24
3|10|close>5SMA|nostop,2002,2
3|10|close>5SMA|nostop,2003,49
3|10|close>5SMA|nostop,2004,51
3|10|close>5SMA|nostop,2005,93
3|10|close>5SMA|nostop,2006,82
3|10|close>5SMA|nostop,2007,99
3|10|close>5SMA|nostop,2009,37
3|10|close>5SMA|nostop,2010,57
3|10|close>5SMA|nostop,2011,88
3|10|close>5SMA|nostop,2012,108
3|10|close>5SMA|2xATR,1983,3
3|10|close>5SMA|2xATR,1985,2
3|10|close>5SMA|2xATR,1986,1
3|10|close>5SMA|2xATR,1987,2
3|10|close>5SMA|2xATR,1988,1
3|10|close>5SMA|2xATR,1989,3
3|10|close>5SMA|2xATR,1990,2
3|10|close>5SMA|2xATR,1991,4
3|10|close>5SMA|2xATR,1992,5
3|10|close>5SMA|2xATR,1993,6
3|10|close>5SMA|2xATR,1994,1
3|10|close>5SMA|2xATR,1995,12
3|10|close>5SMA|2xATR,1996,13
3|10|close>5SMA|2xATR,1997,21
3|10|close>5SMA|2xATR,1998,28
3|10|close>5SMA|2xATR,1999,35
3|10|close>5SMA|2xATR,2000,24
3|10|close>5SMA|2xATR,2002,2
3|10|close>5SMA|2xATR,2003,49
3|10|close>5SMA|2xATR,2004,51
3|10|close>5SMA|2xATR,2005,93
3|10|close>5SMA|2xATR,2006,83
3|10|close>5SMA|2xATR,2007,99
3|10|close>5SMA|2xATR,2009,37
3|10|close>5SMA|2xATR,2010,58
3|10|close>5SMA|2xATR,2011,88
3|10|close>5SMA|2xATR,2012,108
3|10|RSI>65|nostop,1983,3
3|10|RSI>65|nostop,1985,2
3|10|RSI>65|nostop,1986,1
3|10|RSI>65|nostop,1987,2
3|10|RSI>65|nostop,1988,1
3|10|RSI>65|nostop,1989,3
3|10|RSI>65|nostop,1990,2
3|10|RSI>65|nostop,1991,4
3|10|RSI>65|nostop,1992,4
3|10|RSI>65|nostop,1993,6
3|10|RSI>65|nostop,1994,1
3|10|RSI>65|nostop,1995,12
3|10|RSI>65|nostop,1996,13
3|10|RSI>65|nostop,1997,21
3|10|RSI>65|nostop,1998,28
3|10|RSI>65|nostop,1999,35
3|10|RSI>65|nostop,2000,24
3|10|RSI>65|nostop,2002,2
3|10|RSI>65|nostop,2003,49
3|10|RSI>65|nostop,2004,51
3|10|RSI>65|nostop,2005,92
3|10|RSI>65|nostop,2006,82
3|10|RSI>65|nostop,2007,97
3|10|RSI>65|nostop,2009,37
3|10|RSI>65|nostop,2010,57
3|10|RSI>65|nostop,2011,87
3|10|RSI>65|nostop,2012,108
3|10|RSI>65|2xATR,1983,3
3|10|RSI>65|2xATR,1985,2
3|10|RSI>65|2xATR,1986,1
3|10|RSI>65|2xATR,1987,2
3|10|RSI>65|2xATR,1988,1
3|10|RSI>65|2xATR,1989,3
3|10|RSI>65|2xATR,1990,2
3|10|RSI>65|2xATR,1991,4
3|10|RSI>65|2xATR,1992,5
3|10|RSI>65|2xATR,1993,6
3|10|RSI>65|2xATR,1994,1
3|10|RSI>65|2xATR,1995,12
3|10|RSI>65|2xATR,1996,13
3|10|RSI>65|2xATR,1997,21
3|10|RSI>65|2xATR,1998,28
3|10|RSI>65|2xATR,1999,35
3|10|RSI>65|2xATR,2000,24
3|10|RSI>65|2xATR,2002,2
3|10|RSI>65|2xATR,2003,49
3|10|RSI>65|2xATR,2004,51
3|10|RSI>65|2xATR,2005,92
3|10|RSI>65|2xATR,2006,83
3|10|RSI>65|2xATR,2007,97
3|10|RSI>65|2xATR,2009,37
3|10|RSI>65|2xATR,2010,58
3|10|RSI>65|2xATR,2011,87
3|10|RSI>65|2xATR,2012,108
3|10|RSI>70|nostop,1983,3
3|10|RSI>70|nostop,1985,2
3|10|RSI>70|nostop,1986,1
3|10|RSI>70|nostop,1987,2
3|10|RSI>70|nostop,1988,1
3|10|RSI>70|nostop,1989,3
3|10|RSI>70|nostop,1990,2
3|10|RSI>70|nostop,1991,4
3|10|RSI>70|nostop,1992,4
3|10|RSI>70|nostop,1993,6
3|10|RSI>70|nostop,1994,1
3|10|RSI>70|nostop,1995,12
3|10|RSI>70|nostop,1996,13
3|10|RSI>70|nostop,1997,21
3|10|RSI>70|nostop,1998,28
3|10|RSI>70|nostop,1999,35
3|10|RSI>70|nostop,2000,24
3|10|RSI>70|nostop,2002,2
3|10|RSI>70|nostop,2003,49
3|10|RSI>70|nostop,2004,51
3|10|RSI>70|nostop,2005,92
3|10|RSI>70|nostop,2006,82
3|10|RSI>70|nostop,2007,97
3|10|RSI>70|nostop,2009,37
3|10|RSI>70|nostop,2010,57
3|10|RSI>70|nostop,2011,86
3|10|RSI>70|nostop,2012,108
3|10|RSI>70|2xATR,1983,3
3|10|RSI>70|2xATR,1985,2
3|10|RSI>70|2xATR,1986,1
3|10|RSI>70|2xATR,1987,2
3|10|RSI>70|2xATR,1988,1
3|10|RSI>70|2xATR,1989,3
3|10|RSI>70|2xATR,1990,2
3|10|RSI>70|2xATR,1991,4
3|10|RSI>70|2xATR,1992,5
3|10|RSI>70|2xATR,1993,6
3|10|RSI>70|2xATR,1994,1
3|10|RSI>70|2xATR,1995,12
3|10|RSI>70|2xATR,1996,13
3|10|RSI>70|2xATR,1997,21
3|10|RSI>70|2xATR,1998,28
3|10|RSI>70|2xATR,1999,35
3|10|RSI>70|2xATR,2000,24
3|10|RSI>70|2xATR,2002,2
3|10|RSI>70|2xATR,2003,49
3|10|RSI>70|2xATR,2004,51
3|10|RSI>70|2xATR,2005,92
3|10|RSI>70|2xATR,2006,83
3|10|RSI>70|2xATR,2007,97
3|10|RSI>70|2xATR,2009,37
3|10|RSI>70|2xATR,2010,58
3|10|RSI>70|2xATR,2011,86
3|10|RSI>70|2xATR,2012,108
3|10|time5d|nostop,1983,3
3|10|time5d|nostop,1985,2
3|10|time5d|nostop,1986,1
3|10|time5d|nostop,1987,2
3|10|time5d|nostop,1988,1
3|10|time5d|nostop,1989,3
3|10|time5d|nostop,1990,2
3|10|time5d|nostop,1991,4
3|10|time5d|nostop,1992,4
3|10|time5d|nostop,1993,6
3|10|time5d|nostop,1994,1
3|10|time5d|nostop,1995,12
3|10|time5d|nostop,1996,13
3|10|time5d|nostop,1997,21
3|10|time5d|nostop,1998,28
3|10|time5d|nostop,1999,35
3|10|time5d|nostop,2000,24
3|10|time5d|nostop,2002,2
3|10|time5d|nostop,2003,49
3|10|time5d|nostop,2004,51
3|10|time5d|nostop,2005,93
3|10|time5d|nostop,2006,83
3|10|time5d|nostop,2007,99
3|10|time5d|nostop,2009,37
3|10|time5d|nostop,2010,57
3|10|time5d|nostop,2011,88
3|10|time5d|nostop,2012,108
3|10|time5d|2xATR,1983,3
3|10|time5d|2xATR,1985,2
3|10|time5d|2xATR,1986,1
3|10|time5d|2xATR,1987,2
3|10|time5d|2xATR,1988,1
3|10|time5d|2xATR,1989,3
3|10|time5d|2xATR,1990,2
3|10|time5d|2xATR,1991,4
3|10|time5d|2xATR,1992,5
3|10|time5d|2xATR,1993,6
3|10|time5d|2xATR,1994,1
3|10|time5d|2xATR,1995,12
3|10|time5d|2xATR,1996,13
3|10|time5d|2xATR,1997,21
3|10|time5d|2xATR,1998,28
3|10|time5d|2xATR,1999,35
3|10|time5d|2xATR,2000,24
3|10|time5d|2xATR,2002,2
3|10|time5d|2xATR,2003,49
3|10|time5d|2xATR,2004,51
3|10|time5d|2xATR,2005,93
3|10|time5d|2xATR,2006,83
3|10|time5d|2xATR,2007,99
3|10|time5d|2xATR,2009,37
3|10|time5d|2xATR,2010,58
3|10|time5d|2xATR,2011,88
3|10|time5d|2xATR,2012,108
3|15|close>5SMA|nostop,1982,1
3|15|close>5SMA|nostop,1983,5
3|15|close>5SMA|nostop,1985,2
3|15|close>5SMA|nostop,1986,1
3|15|close>5SMA|nostop,1987,6
3|15|close>5SMA|nostop,1988,1
3|15|close>5SMA|nostop,1989,8
3|15|close>5SMA|nostop,1990,3
3|15|close>5SMA|nostop,1991,8
3|15|close>5SMA|nostop,1992,9
3|15|close>5SMA|nostop,1993,14
3|15|close>5SMA|nostop,1994,6
3|15|close>5SMA|nostop,1995,31
3|15|close>5SMA|nostop,1996,43
3|15|close>5SMA|nostop,1997,62
3|15|close>5SMA|nostop,1998,67
3|15|close>5SMA|nostop,1999,86
3|15|close>5SMA|nostop,2000,67
3|15|close>5SMA|nostop,2002,10
3|15|close>5SMA|nostop,2003,107
3|15|close>5SMA|nostop,2004,147
3|15|close>5SMA|nostop,2005,228
3|15|close>5SMA|nostop,2006,182
3|15|close>5SMA|nostop,2007,229
3|15|close>5SMA|nostop,2009,124
3|15|close>5SMA|nostop,2010,163
3|15|close>5SMA|nostop,2011,223
3|15|close>5SMA|nostop,2012,268
3|15|close>5SMA|2xATR,1982,1
3|15|close>5SMA|2xATR,1983,5
3|15|close>5SMA|2xATR,1985,2
3|15|close>5SMA|2xATR,1986,1
3|15|close>5SMA|2xATR,1987,6
3|15|close>5SMA|2xATR,1988,1
3|15|close>5SMA|2xATR,1989,8
3|15|close>5SMA|2xATR,1990,3
3|15|close>5SMA|2xATR,1991,8
3|15|close>5SMA|2xATR,1992,10
3|15|close>5SMA|2xATR,1993,15
3|15|close>5SMA|2xATR,1994,6
3|15|close>5SMA|2xATR,1995,31
3|15|close>5SMA|2xATR,1996,45
3|15|close>5SMA|2xATR,1997,63
3|15|close>5SMA|2xATR,1998,67
3|15|close>5SMA|2xATR,1999,86
3|15|close>5SMA|2xATR,2000,67
3|15|close>5SMA|2xATR,2002,10
3|15|close>5SMA|2xATR,2003,107
3|15|close>5SMA|2xATR,2004,147
3|15|close>5SMA|2xATR,2005,229
3|15|close>5SMA|2xATR,2006,183
3|15|close>5SMA|2xATR,2007,230
3|15|close>5SMA|2xATR,2009,124
3|15|close>5SMA|2xATR,2010,164
3|15|close>5SMA|2xATR,2011,224
3|15|close>5SMA|2xATR,2012,270
3|15|RSI>65|nostop,1982,1
3|15|RSI>65|nostop,1983,5
3|15|RSI>65|nostop,1985,2
3|15|RSI>65|nostop,1986,1
3|15|RSI>65|nostop,1987,6
3|15|RSI>65|nostop,1988,1
3|15|RSI>65|nostop,1989,8
3|15|RSI>65|nostop,1990,3
3|15|RSI>65|nostop,1991,8
3|15|RSI>65|nostop,1992,9
3|15|RSI>65|nostop,1993,14
3|15|RSI>65|nostop,1994,6
3|15|RSI>65|nostop,1995,30
3|15|RSI>65|nostop,1996,43
3|15|RSI>65|nostop,1997,62
3|15|RSI>65|nostop,1998,67
3|15|RSI>65|nostop,1999,84
3|15|RSI>65|nostop,2000,66
3|15|RSI>65|nostop,2002,10
3|15|RSI>65|nostop,2003,107
3|15|RSI>65|nostop,2004,144
3|15|RSI>65|nostop,2005,223
3|15|RSI>65|nostop,2006,179
3|15|RSI>65|nostop,2007,226
3|15|RSI>65|nostop,2009,124
3|15|RSI>65|nostop,2010,160
3|15|RSI>65|nostop,2011,218
3|15|RSI>65|nostop,2012,266
3|15|RSI>65|2xATR,1982,1
3|15|RSI>65|2xATR,1983,5
3|15|RSI>65|2xATR,1985,2
3|15|RSI>65|2xATR,1986,1
3|15|RSI>65|2xATR,1987,6
3|15|RSI>65|2xATR,1988,1
3|15|RSI>65|2xATR,1989,8
3|15|RSI>65|2xATR,1990,3
3|15|RSI>65|2xATR,1991,8
3|15|RSI>65|2xATR,1992,10
3|15|RSI>65|2xATR,1993,15
3|15|RSI>65|2xATR,1994,6
3|15|RSI>65|2xATR,1995,30
3|15|RSI>65|2xATR,1996,45
3|15|RSI>65|2xATR,1997,63
3|15|RSI>65|2xATR,1998,67
3|15|RSI>65|2xATR,1999,84
3|15|RSI>65|2xATR,2000,66
3|15|RSI>65|2xATR,2002,10
3|15|RSI>65|2xATR,2003,107
3|15|RSI>65|2xATR,2004,145
3|15|RSI>65|2xATR,2005,225
3|15|RSI>65|2xATR,2006,180
3|15|RSI>65|2xATR,2007,227
3|15|RSI>65|2xATR,2009,124
3|15|RSI>65|2xATR,2010,161
3|15|RSI>65|2xATR,2011,219
3|15|RSI>65|2xATR,2012,268
3|15|RSI>70|nostop,1982,1
3|15|RSI>70|nostop,1983,5
3|15|RSI>70|nostop,1985,2
3|15|RSI>70|nostop,1986,1
3|15|RSI>70|nostop,1987,6
3|15|RSI>70|nostop,1988,1
3|15|RSI>70|nostop,1989,8
3|15|RSI>70|nostop,1990,3
3|15|RSI>70|nostop,1991,8
3|15|RSI>70|nostop,1992,9
3|15|RSI>70|nostop,1993,14
3|15|RSI>70|nostop,1994,6
3|15|RSI>70|nostop,1995,29
3|15|RSI>70|nostop,1996,43
3|15|RSI>70|nostop,1997,62
3|15|RSI>70|nostop,1998,66
3|15|RSI>70|nostop,1999,84
3|15|RSI>70|nostop,2000,65
3|15|RSI>70|nostop,2002,10
3|15|RSI>70|nostop,2003,107
3|15|RSI>70|nostop,2004,144
3|15|RSI>70|nostop,2005,219
3|15|RSI>70|nostop,2006,179
3|15|RSI>70|nostop,2007,223
3|15|RSI>70|nostop,2009,124
3|15|RSI>70|nostop,2010,160
3|15|RSI>70|nostop,2011,215
3|15|RSI>70|nostop,2012,266
3|15|RSI>70|2xATR,1982,1
3|15|RSI>70|2xATR,1983,5
3|15|RSI>70|2xATR,1985,2
3|15|RSI>70|2xATR,1986,1
3|15|RSI>70|2xATR,1987,6
3|15|RSI>70|2xATR,1988,1
3|15|RSI>70|2xATR,1989,8
3|15|RSI>70|2xATR,1990,3
3|15|RSI>70|2xATR,1991,8
3|15|RSI>70|2xATR,1992,10
3|15|RSI>70|2xATR,1993,15
3|15|RSI>70|2xATR,1994,6
3|15|RSI>70|2xATR,1995,29
3|15|RSI>70|2xATR,1996,45
3|15|RSI>70|2xATR,1997,63
3|15|RSI>70|2xATR,1998,66
3|15|RSI>70|2xATR,1999,84
3|15|RSI>70|2xATR,2000,65
3|15|RSI>70|2xATR,2002,10
3|15|RSI>70|2xATR,2003,107
3|15|RSI>70|2xATR,2004,145
3|15|RSI>70|2xATR,2005,221
3|15|RSI>70|2xATR,2006,180
3|15|RSI>70|2xATR,2007,224
3|15|RSI>70|2xATR,2009,124
3|15|RSI>70|2xATR,2010,161
3|15|RSI>70|2xATR,2011,216
3|15|RSI>70|2xATR,2012,268
3|15|time5d|nostop,1982,1
3|15|time5d|nostop,1983,5
3|15|time5d|nostop,1985,2
3|15|time5d|nostop,1986,1
3|15|time5d|nostop,1987,6
3|15|time5d|nostop,1988,1
3|15|time5d|nostop,1989,8
3|15|time5d|nostop,1990,3
3|15|time5d|nostop,1991,8
3|15|time5d|nostop,1992,10
3|15|time5d|nostop,1993,14
3|15|time5d|nostop,1994,6
3|15|time5d|nostop,1995,31
3|15|time5d|nostop,1996,44
3|15|time5d|nostop,1997,62
3|15|time5d|nostop,1998,67
3|15|time5d|nostop,1999,86
3|15|time5d|nostop,2000,66
3|15|time5d|nostop,2002,10
3|15|time5d|nostop,2003,107
3|15|time5d|nostop,2004,147
3|15|time5d|nostop,2005,224
3|15|time5d|nostop,2006,182
3|15|time5d|nostop,2007,229
3|15|time5d|nostop,2009,124
3|15|time5d|nostop,2010,162
3|15|time5d|nostop,2011,221
3|15|time5d|nostop,2012,271
3|15|time5d|2xATR,1982,1
3|15|time5d|2xATR,1983,5
3|15|time5d|2xATR,1985,2
3|15|time5d|2xATR,1986,1
3|15|time5d|2xATR,1987,6
