cell,year,n_trades
2|5|RSI>70|2xATR,1989,10
2|5|RSI>70|2xATR,1990,2
2|5|RSI>70|2xATR,1991,6
2|5|RSI>70|2xATR,1992,8
2|5|RSI>70|2xATR,1993,12
2|5|RSI>70|2xATR,1994,5
2|5|RSI>70|2xATR,1995,29
2|5|RSI>70|2xATR,1996,44
2|5|RSI>70|2xATR,1997,61
2|5|RSI>70|2xATR,1998,70
2|5|RSI>70|2xATR,1999,82
2|5|RSI>70|2xATR,2000,51
2|5|RSI>70|2xATR,2002,6
2|5|RSI>70|2xATR,2003,92
2|5|RSI>70|2xATR,2004,121
2|5|RSI>70|2xATR,2005,203
2|5|RSI>70|2xATR,2006,174
2|5|RSI>70|2xATR,2007,209
2|5|RSI>70|2xATR,2009,98
2|5|RSI>70|2xATR,2010,142
2|5|RSI>70|2xATR,2011,196
2|5|RSI>70|2xATR,2012,253
2|5|time5d|nostop,1983,5
2|5|time5d|nostop,1985,2
2|5|time5d|nostop,1986,1
2|5|time5d|nostop,1987,6
2|5|time5d|nostop,1988,2
2|5|time5d|nostop,1989,10
2|5|time5d|nostop,1990,2
2|5|time5d|nostop,1991,6
2|5|time5d|nostop,1992,8
2|5|time5d|nostop,1993,12
2|5|time5d|nostop,1994,5
2|5|time5d|nostop,1995,30
2|5|time5d|nostop,1996,43
2|5|time5d|nostop,1997,61
2|5|time5d|nostop,1998,70
2|5|time5d|nostop,1999,82
2|5|time5d|nostop,2000,51
2|5|time5d|nostop,2002,6
2|5|time5d|nostop,2003,92
2|5|time5d|nostop,2004,121
2|5|time5d|nostop,2005,203
2|5|time5d|nostop,2006,175
2|5|time5d|nostop,2007,208
2|5|time5d|nostop,2009,99
2|5|time5d|nostop,2010,141
2|5|time5d|nostop,2011,198
2|5|time5d|nostop,2012,255
2|5|time5d|2xATR,1983,5
2|5|time5d|2xATR,1985,2
2|5|time5d|2xATR,1986,1
2|5|time5d|2xATR,1987,6
2|5|time5d|2xATR,1988,2
2|5|time5d|2xATR,1989,10
2|5|time5d|2xATR,1990,2
2|5|time5d|2xATR,1991,6
2|5|time5d|2xATR,1992,8
2|5|time5d|2xATR,1993,12
2|5|time5d|2xATR,1994,5
2|5|time5d|2xATR,1995,30
2|5|time5d|2xATR,1996,44
2|5|time5d|2xATR,1997,61
2|5|time5d|2xATR,1998,70
2|5|time5d|2xATR,1999,82
2|5|time5d|2xATR,2000,51
2|5|time5d|2xATR,2002,6
2|5|time5d|2xATR,2003,92
2|5|time5d|2xATR,2004,121
2|5|time5d|2xATR,2005,203
2|5|time5d|2xATR,2006,175
2|5|time5d|2xATR,2007,211
2|5|time5d|2xATR,2009,99
2|5|time5d|2xATR,2010,142
2|5|time5d|2xATR,2011,198
2|5|time5d|2xATR,2012,256
2|10|close>5SMA|nostop,1982,3
2|10|close>5SMA|nostop,1983,6
2|10|close>5SMA|nostop,1985,3
2|10|close>5SMA|nostop,1986,2
2|10|close>5SMA|nostop,1987,10
2|10|close>5SMA|nostop,1988,1
2|10|close>5SMA|nostop,1989,14
2|10|close>5SMA|nostop,1990,6
2|10|close>5SMA|nostop,1991,15
2|10|close>5SMA|nostop,1992,19
2|10|close>5SMA|nostop,1993,28
2|10|close>5SMA|nostop,1994,13
2|10|close>5SMA|nostop,1995,65
2|10|close>5SMA|nostop,1996,105
2|10|close>5SMA|nostop,1997,150
2|10|close>5SMA|nostop,1998,147
2|10|close>5SMA|nostop,1999,181
2|10|close>5SMA|nostop,2000,145
2|10|close>5SMA|nostop,2002,16
2|10|close>5SMA|nostop,2003,241
2|10|close>5SMA|nostop,2004,315
2|10|close>5SMA|nostop,2005,462
2|10|close>5SMA|nostop,2006,382
2|10|close>5SMA|nostop,2007,468
2|10|close>5SMA|nostop,2009,300
2|10|close>5SMA|nostop,2010,393
2|10|close>5SMA|nostop,2011,446
2|10|close>5SMA|nostop,2012,594
2|10|close>5SMA|2xATR,1982,3
2|10|close>5SMA|2xATR,1983,6
2|10|close>5SMA|2xATR,1985,3
2|10|close>5SMA|2xATR,1986,2
2|10|close>5SMA|2xATR,1987,10
2|10|close>5SMA|2xATR,1988,2
2|10|close>5SMA|2xATR,1989,15
2|10|close>5SMA|2xATR,1990,6
2|10|close>5SMA|2xATR,1991,16
2|10|close>5SMA|2xATR,1992,20
2|10|close>5SMA|2xATR,1993,28
2|10|close>5SMA|2xATR,1994,13
2|10|close>5SMA|2xATR,1995,66
2|10|close>5SMA|2xATR,1996,108
2|10|close>5SMA|2xATR,1997,153
2|10|close>5SMA|2xATR,1998,152
2|10|close>5SMA|2xATR,1999,183
2|10|close>5SMA|2xATR,2000,145
2|10|close>5SMA|2xATR,2002,16
2|10|close>5SMA|2xATR,2003,242
2|10|close>5SMA|2xATR,2004,318
2|10|close>5SMA|2xATR,2005,466
2|10|close>5SMA|2xATR,2006,389
2|10|close>5SMA|2xATR,2007,476
2|10|close>5SMA|2xATR,2009,300
2|10|close>5SMA|2xATR,2010,399
2|10|close>5SMA|2xATR,2011,448
2|10|close>5SMA|2xATR,2012,600
2|10|RSI>65|nostop,1982,3
2|10|RSI>65|nostop,1983,6
2|10|RSI>65|nostop,1985,3
2|10|RSI>65|nostop,1986,2
2|10|RSI>65|nostop,1987,10
2|10|RSI>65|nostop,1988,1
2|10|RSI>65|nostop,1989,14
2|10|RSI>65|nostop,1990,6
2|10|RSI>65|nostop,1991,15
2|10|RSI>65|nostop,1992,19
2|10|RSI>65|nostop,1993,28
2|10|RSI>65|nostop,1994,13
2|10|RSI>65|nostop,1995,64
2|10|RSI>65|nostop,1996,105
2|10|RSI>65|nostop,1997,149
2|10|RSI>65|nostop,1998,146
2|10|RSI>65|nostop,1999,180
2|10|RSI>65|nostop,2000,145
2|10|RSI>65|nostop,2002,15
2|10|RSI>65|nostop,2003,241
2|10|RSI>65|nostop,2004,314
2|10|RSI>65|nostop,2005,457
2|10|RSI>65|nostop,2006,376
2|10|RSI>65|nostop,2007,464
2|10|RSI>65|nostop,2009,296
2|10|RSI>65|nostop,2010,389
2|10|RSI>65|nostop,2011,441
2|10|RSI>65|nostop,2012,594
2|10|RSI>65|2xATR,1982,3
2|10|RSI>65|2xATR,1983,6
2|10|RSI>65|2xATR,1985,3
2|10|RSI>65|2xATR,1986,2
2|10|RSI>65|2xATR,1987,10
2|10|RSI>65|2xATR,1988,2
2|10|RSI>65|2xATR,1989,15
2|10|RSI>65|2xATR,1990,6
2|10|RSI>65|2xATR,1991,16
2|10|RSI>65|2xATR,1992,20
2|10|RSI>65|2xATR,1993,28
2|10|RSI>65|2xATR,1994,13
2|10|RSI>65|2xATR,1995,65
2|10|RSI>65|2xATR,1996,108
2|10|RSI>65|2xATR,1997,152
2|10|RSI>65|2xATR,1998,151
2|10|RSI>65|2xATR,1999,182
2|10|RSI>65|2xATR,2000,145
2|10|RSI>65|2xATR,2002,15
2|10|RSI>65|2xATR,2003,242
2|10|RSI>65|2xATR,2004,318
2|10|RSI>65|2xATR,2005,461
2|10|RSI>65|2xATR,2006,384
2|10|RSI>65|2xATR,2007,472
2|10|RSI>65|2xATR,2009,297
2|10|RSI>65|2xATR,2010,395
2|10|RSI>65|2xATR,2011,443
2|10|RSI>65|2xATR,2012,600
2|10|RSI>70|nostop,1982,3
2|10|RSI>70|nostop,1983,6
2|10|RSI>70|nostop,1985,3
2|10|RSI>70|nostop,1986,2
2|10|RSI>70|nostop,1987,10
2|10|RSI>70|nostop,1988,1
2|10|RSI>70|nostop,1989,14
2|10|RSI>70|nostop,1990,6
2|10|RSI>70|nostop,1991,15
2|10|RSI>70|nostop,1992,19
2|10|RSI>70|nostop,1993,28
2|10|RSI>70|nostop,1994,13
2|10|RSI>70|nostop,1995,64
2|10|RSI>70|nostop,1996,102
2|10|RSI>70|nostop,1997,149
2|10|RSI>70|nostop,1998,146
2|10|RSI>70|nostop,1999,177
2|10|RSI>70|nostop,2000,144
2|10|RSI>70|nostop,2002,15
2|10|RSI>70|nostop,2003,239
2|10|RSI>70|nostop,2004,312
2|10|RSI>70|nostop,2005,450
2|10|RSI>70|nostop,2006,376
2|10|RSI>70|nostop,2007,461
2|10|RSI>70|nostop,2009,293
2|10|RSI>70|nostop,2010,384
2|10|RSI>70|nostop,2011,434
2|10|RSI>70|nostop,2012,592
2|10|RSI>70|2xATR,1982,3
2|10|RSI>70|2xATR,1983,6
2|10|RSI>70|2xATR,1985,3
2|10|RSI>70|2xATR,1986,2
2|10|RSI>70|2xATR,1987,10
2|10|RSI>70|2xATR,1988,2
2|10|RSI>70|2xATR,1989,15
2|10|RSI>70|2xATR,1990,6
2|10|RSI>70|2xATR,1991,16
2|10|RSI>70|2xATR,1992,20
2|10|RSI>70|2xATR,1993,28
2|10|RSI>70|2xATR,1994,13
2|10|RSI>70|2xATR,1995,65
2|10|RSI>70|2xATR,1996,105
2|10|RSI>70|2xATR,1997,152
2|10|RSI>70|2xATR,1998,151
2|10|RSI>70|2xATR,1999,179
2|10|RSI>70|2xATR,2000,144
2|10|RSI>70|2xATR,2002,15
2|10|RSI>70|2xATR,2003,240
2|10|RSI>70|2xATR,2004,316
2|10|RSI>70|2xATR,2005,455
2|10|RSI>70|2xATR,2006,384
2|10|RSI>70|2xATR,2007,470
2|10|RSI>70|2xATR,2009,294
2|10|RSI>70|2xATR,2010,390
2|10|RSI>70|2xATR,2011,437
2|10|RSI>70|2xATR,2012,598
2|10|time5d|nostop,1982,3
2|10|time5d|nostop,1983,6
2|10|time5d|nostop,1985,3
2|10|time5d|nostop,1986,2
2|10|time5d|nostop,1987,10
2|10|time5d|nostop,1988,2
2|10|time5d|nostop,1989,14
2|10|time5d|nostop,1990,6
2|10|time5d|nostop,1991,16
2|10|time5d|nostop,1992,20
2|10|time5d|nostop,1993,28
2|10|time5d|nostop,1994,13
2|10|time5d|nostop,1995,65
2|10|time5d|nostop,1996,104
2|10|time5d|nostop,1997,149
2|10|time5d|nostop,1998,146
2|10|time5d|nostop,1999,179
2|10|time5d|nostop,2000,144
2|10|time5d|nostop,2002,15
2|10|time5d|nostop,2003,239
2|10|time5d|nostop,2004,317
2|10|time5d|nostop,2005,452
2|10|time5d|nostop,2006,385
2|10|time5d|nostop,2007,467
2|10|time5d|nostop,2009,289
2|10|time5d|nostop,2010,388
2|10|time5d|nostop,2011,441
2|10|time5d|nostop,2012,597
2|10|time5d|2xATR,1982,3
2|10|time5d|2xATR,1983,6
2|10|time5d|2xATR,1985,3
2|10|time5d|2xATR,1986,2
2|10|time5d|2xATR,1987,10
2|10|time5d|2xATR,1988,2
2|10|time5d|2xATR,1989,15
2|10|time5d|2xATR,1990,6
2|10|time5d|2xATR,1991,16
2|10|time5d|2xATR,1992,20
2|10|time5d|2xATR,1993,28
2|10|time5d|2xATR,1994,13
2|10|time5d|2xATR,1995,66
2|10|time5d|2xATR,1996,106
2|10|time5d|2xATR,1997,151
2|10|time5d|2xATR,1998,150
2|10|time5d|2xATR,1999,180
2|10|time5d|2xATR,2000,144
2|10|time5d|2xATR,2002,15
2|10|time5d|2xATR,2003,240
2|10|time5d|2xATR,2004,319
2|10|time5d|2xATR,2005,456
2|10|time5d|2xATR,2006,389
2|10|time5d|2xATR,2007,473
2|10|time5d|2xATR,2009,289
2|10|time5d|2xATR,2010,392
2|10|time5d|2xATR,2011,443
2|10|time5d|2xATR,2012,602
2|15|close>5SMA|nostop,1982,6
2|15|close>5SMA|nostop,1983,11
2|15|close>5SMA|nostop,1985,3
2|15|close>5SMA|nostop,1986,4
2|15|close>5SMA|nostop,1987,15
2|15|close>5SMA|nostop,1988,2
2|15|close>5SMA|nostop,1989,17
2|15|close>5SMA|nostop,1990,8
2|15|close>5SMA|nostop,1991,25
2|15|close>5SMA|nostop,1992,22
2|15|close>5SMA|nostop,1993,44
2|15|close>5SMA|nostop,1994,23
2|15|close>5SMA|nostop,1995,102
2|15|close>5SMA|nostop,1996,152
2|15|close>5SMA|nostop,1997,223
2|15|close>5SMA|nostop,1998,225
2|15|close>5SMA|nostop,1999,281
2|15|close>5SMA|nostop,2000,236
2|15|close>5SMA|nostop,2002,24
2|15|close>5SMA|nostop,2003,402
2|15|close>5SMA|nostop,2004,495
2|15|close>5SMA|nostop,2005,667
2|15|close>5SMA|nostop,2006,606
2|15|close>5SMA|nostop,2007,731
2|15|close>5SMA|nostop,2009,453
2|15|close>5SMA|nostop,2010,653
2|15|close>5SMA|nostop,2011,664
2|15|close>5SMA|nostop,2012,948
2|15|close>5SMA|2xATR,1982,6
2|15|close>5SMA|2xATR,1983,11
2|15|close>5SMA|2xATR,1985,3
2|15|close>5SMA|2xATR,1986,4
2|15|close>5SMA|2xATR,1987,15
2|15|close>5SMA|2xATR,1988,3
2|15|close>5SMA|2xATR,1989,18
2|15|close>5SMA|2xATR,1990,9
2|15|close>5SMA|2xATR,1991,26
2|15|close>5SMA|2xATR,1992,24
2|15|close>5SMA|2xATR,1993,45
2|15|close>5SMA|2xATR,1994,23
2|15|close>5SMA|2xATR,1995,104
2|15|close>5SMA|2xATR,1996,155
2|15|close>5SMA|2xATR,1997,230
2|15|close>5SMA|2xATR,1998,233
2|15|close>5SMA|2xATR,1999,286
2|15|close>5SMA|2xATR,2000,238
2|15|close>5SMA|2xATR,2002,24
2|15|close>5SMA|2xATR,2003,407
2|15|close>5SMA|2xATR,2004,501
2|15|close>5SMA|2xATR,2005,680
2|15|close>5SMA|2xATR,2006,622
2|15|close>5SMA|2xATR,2007,748
2|15|close>5SMA|2xATR,2009,454
2|15|close>5SMA|2xATR,2010,671
2|15|close>5SMA|2xATR,2011,673
2|15|close>5SMA|2xATR,2012,963
2|15|RSI>65|nostop,1982,6
2|15|RSI>65|nostop,1983,11
2|15|RSI>65|nostop,1985,3
2|15|RSI>65|nostop,1986,4
2|15|RSI>65|nostop,1987,15
2|15|RSI>65|nostop,1988,2
2|15|RSI>65|nostop,1989,17
2|15|RSI>65|nostop,1990,8
2|15|RSI>65|nostop,1991,25
2|15|RSI>65|nostop,1992,22
2|15|RSI>65|nostop,1993,44
2|15|RSI>65|nostop,1994,23
2|15|RSI>65|nostop,1995,101
2|15|RSI>65|nostop,1996,151
2|15|RSI>65|nostop,1997,219
2|15|RSI>65|nostop,1998,221
2|15|RSI>65|nostop,1999,278
2|15|RSI>65|nostop,2000,235
2|15|RSI>65|nostop,2002,23
2|15|RSI>65|nostop,2003,393
2|15|RSI>65|nostop,2004,491
2|15|RSI>65|nostop,2005,657
2|15|RSI>65|nostop,2006,594
2|15|RSI>65|nostop,2007,717
2|15|RSI>65|nostop,2009,446
2|15|RSI>65|nostop,2010,643
2|15|RSI>65|nostop,2011,650
2|15|RSI>65|nostop,2012,934
2|15|RSI>65|2xATR,1982,6
2|15|RSI>65|2xATR,1983,11
2|15|RSI>65|2xATR,1985,3
2|15|RSI>65|2xATR,1986,4
2|15|RSI>65|2xATR,1987,15
2|15|RSI>65|2xATR,1988,3
2|15|RSI>65|2xATR,1989,18
2|15|RSI>65|2xATR,1990,9
2|15|RSI>65|2xATR,1991,26
2|15|RSI>65|2xATR,1992,24
2|15|RSI>65|2xATR,1993,45
2|15|RSI>65|2xATR,1994,23
2|15|RSI>65|2xATR,1995,103
2|15|RSI>65|2xATR,1996,155
2|15|RSI>65|2xATR,1997,226
2|15|RSI>65|2xATR,1998,230
2|15|RSI>65|2xATR,1999,283
2|15|RSI>65|2xATR,2000,237
2|15|RSI>65|2xATR,2002,23
2|15|RSI>65|2xATR,2003,398
2|15|RSI>65|2xATR,2004,499
2|15|RSI>65|2xATR,2005,672
2|15|RSI>65|2xATR,2006,612
2|15|RSI>65|2xATR,2007,735
2|15|RSI>65|2xATR,2009,448
2|15|RSI>65|2xATR,2010,661
2|15|RSI>65|2xATR,2011,659
2|15|RSI>65|2xATR,2012,950
2|15|RSI>70|nostop,1982,5
2|15|RSI>70|nostop,1983,11
2|15|RSI>70|nostop,1985,3
2|15|RSI>70|nostop,1986,4
2|15|RSI>70|nostop,1987,15
2|15|RSI>70|nostop,1988,2
2|15|RSI>70|nostop,1989,17
2|15|RSI>70|nostop,1990,8
2|15|RSI>70|nostop,1991,25
2|15|RSI>70|nostop,1992,22
2|15|RSI>70|nostop,1993,44
2|15|RSI>70|nostop,1994,23
2|15|RSI>70|nostop,1995,100
2|15|RSI>70|nostop,1996,147
2|15|RSI>70|nostop,1997,217
2|15|RSI>70|nostop,1998,219
2|15|RSI>70|nostop,1999,274
2|15|RSI>70|nostop,2000,232
2|15|RSI>70|nostop,2002,22
2|15|RSI>70|nostop,2003,387
2|15|RSI>70|nostop,2004,482
2|15|RSI>70|nostop,2005,642
2|15|RSI>70|nostop,2006,587
2|15|RSI>70|nostop,2007,706
2|15|RSI>70|nostop,2009,440
2|15|RSI>70|nostop,2010,631
2|15|RSI>70|nostop,2011,634
2|15|RSI>70|nostop,2012,924
2|15|RSI>70|2xATR,1982,5
2|15|RSI>70|2xATR,1983,11
2|15|RSI>70|2xATR,1985,3
2|15|RSI>70|2xATR,1986,4
2|15|RSI>70|2xATR,1987,15
2|15|RSI>70|2xATR,1988,3
2|15|RSI>70|2xATR,1989,18
2|15|RSI>70|2xATR,1990,9
2|15|RSI>70|2xATR,1991,26
2|15|RSI>70|2xATR,1992,24
2|15|RSI>70|2xATR,1993,45
2|15|RSI>70|2xATR,1994,23
2|15|RSI>70|2xATR,1995,103
2|15|RSI>70|2xATR,1996,152
2|15|RSI>70|2xATR,1997,224
2|15|RSI>70|2xATR,1998,228
2|15|RSI>70|2xATR,1999,279
2|15|RSI>70|2xATR,2000,234
2|15|RSI>70|2xATR,2002,22
2|15|RSI>70|2xATR,2003,392
2|15|RSI>70|2xATR,2004,490
2|15|RSI>70|2xATR,2005,660
2|15|RSI>70|2xATR,2006,606
2|15|RSI>70|2xATR,2007,725
2|15|RSI>70|2xATR,2009,442
2|15|RSI>70|2xATR,2010,649
2|15|RSI>70|2xATR,2011,644
2|15|RSI>70|2xATR,2012,940
2|15|time5d|nostop,1982,5
2|15|time5d|nostop,1983,11
2|15|time5d|nostop,1985,3
2|15|time5d|nostop,1986,4
2|15|time5d|nostop,1987,16
2|15|time5d|nostop,1988,3
2|15|time5d|nostop,1989,17
2|15|time5d|nostop,1990,7
2|15|time5d|nostop,1991,26
2|15|time5d|nostop,1992,23
2|15|time5d|nostop,1993,45
2|15|time5d|nostop,1994,23
2|15|time5d|nostop,1995,100
2|15|time5d|nostop,1996,151
