instrument,rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,max_dd_pct,tim_pct,ann_ret_pct,ann_over_tim
^GSPC,1,15,close>5SMA,nostop,2809,40.121039515841936,-0.3896095531932424,0.3897579433987229,-99.998859503018,49.936759263596755,-12.528606890908389,-25.088946651052666
^GSPC,1,15,close>5SMA,2xATR,3119,41.00673292722026,-0.31882844705758845,0.4675217797564575,-99.9969924068762,45.28505176371387,-11.35409199377212,-25.072494237204246
^GSPC,1,15,RSI>65,nostop,3241,35.08176488738044,-0.410968004385363,0.3361703811014606,-99.99988432365689,44.8306553614091,-14.861507909354232,-33.15032490501408
^GSPC,1,15,RSI>65,2xATR,3400,35.911764705882355,-0.3557815140764403,0.384770967137844,-99.99958312736355,42.970909261254505,-13.553666957593935,-31.54149444497523
^GSPC,1,15,time3d,nostop,2626,44.02132520944402,-0.28509946637396355,0.6197150952314252,-99.96501805225432,49.20597742071485,-8.875461729656386,-18.037364960298447
^GSPC,1,15,time3d,2xATR,2688,43.75,-0.21367009306834892,0.6880408576390019,-99.82470707269464,48.44708858387595,-6.906197171943029,-14.25513353601507
^GSPC,1,20,close>5SMA,nostop,2809,40.121039515841936,-0.3896095531932424,0.3897579433987229,-99.998859503018,49.936759263596755,-12.528606890908389,-25.088946651052666
^GSPC,1,20,close>5SMA,2xATR,3119,41.00673292722026,-0.31882844705758845,0.4675217797564575,-99.9969924068762,45.28505176371387,-11.35409199377212,-25.072494237204246
^GSPC,1,20,RSI>65,nostop,3241,35.08176488738044,-0.410968004385363,0.3361703811014606,-99.99988432365689,44.8306553614091,-14.861507909354232,-33.15032490501408
^GSPC,1,20,RSI>65,2xATR,3400,35.911764705882355,-0.3557815140764403,0.384770967137844,-99.99958312736355,42.970909261254505,-13.553666957593935,-31.54149444497523
^GSPC,1,20,time3d,nostop,2626,44.02132520944402,-0.28509946637396355,0.6197150952314252,-99.96501805225432,49.20597742071485,-8.875461729656386,-18.037364960298447
^GSPC,1,20,time3d,2xATR,2688,43.75,-0.21367009306834892,0.6880408576390019,-99.82470707269464,48.44708858387595,-6.906197171943029,-14.25513353601507
^GSPC,1,30,close>5SMA,nostop,2809,40.121039515841936,-0.3896095531932424,0.3897579433987229,-99.998859503018,49.936759263596755,-12.528606890908389,-25.088946651052666
^GSPC,1,30,close>5SMA,2xATR,3119,41.00673292722026,-0.31882844705758845,0.4675217797564575,-99.9969924068762,45.28505176371387,-11.35409199377212,-25.072494237204246
^GSPC,1,30,RSI>65,nostop,3241,35.08176488738044,-0.410968004385363,0.3361703811014606,-99.99988432365689,44.8306553614091,-14.861507909354232,-33.15032490501408
^GSPC,1,30,RSI>65,2xATR,3400,35.911764705882355,-0.3557815140764403,0.384770967137844,-99.99958312736355,42.970909261254505,-13.553666957593935,-31.54149444497523
^GSPC,1,30,time3d,nostop,2626,44.02132520944402,-0.28509946637396355,0.6197150952314252,-99.96501805225432,49.20597742071485,-8.875461729656386,-18.037364960298447
^GSPC,1,30,time3d,2xATR,2688,43.75,-0.21367009306834892,0.6880408576390019,-99.82470707269464,48.44708858387595,-6.906197171943029,-14.25513353601507
^GSPC,2,5,close>5SMA,nostop,359,59.05292479108635,-0.10826989682428427,0.8510853874252072,-62.4441017727141,8.614793647819367,-0.5703266528546358,-6.620317051923822
^GSPC,2,5,close>5SMA,2xATR,381,57.74278215223097,-0.05568150350300493,0.916405199940347,-58.60424470303821,7.429615402632689,-0.3264376597791663,-4.3937356389065965
^GSPC,2,5,RSI>65,nostop,355,60.84507042253521,0.012908022190217616,1.0176675518122607,-68.20064942601583,9.84681688293437,-0.07162939194649276,-0.7274370265850528
^GSPC,2,5,RSI>65,2xATR,379,58.575197889182064,0.04641564233782796,1.0682219993053488,-61.56073111067808,8.25877172436408,0.11478988282498381,1.3899147071270161
^GSPC,2,5,time3d,nostop,387,46.51162790697674,-0.05451416854670379,0.9204432567646438,-58.263603845919356,7.24223544291938,-0.33476066805624427,-4.6223389269059805
^GSPC,2,5,time3d,2xATR,399,46.11528822055138,-0.029776687752402786,0.9547505881868245,-53.79528693873654,7.204759450976718,-0.21617289131163897,-3.0004178874054337
^GSPC,2,10,close>5SMA,nostop,651,56.98924731182796,-0.14320215125606128,0.7872060247487046,-79.73691015417226,15.266782217641822,-1.2494162967549127,-8.183887599517375
^GSPC,2,10,close>5SMA,2xATR,706,56.37393767705382,-0.12833865984428103,0.8052037279299562,-78.80811059616939,13.411720616480066,-1.1834194795857123,-8.82377074073217
