,,total_return_%,CAGR_%,maxDD_%,worst_trade_%eq,worst_year,n_taken,avg_concurrent,pos_med_%eq,pos_p95_%eq,clamp_capital,skip_capital,skip_risk
on,OFF,17.734221094051208,0.3739716824937789,-43.844542667557164,-3.6316800000000002,2023:-15.8%,1200,0.892646790940555,0.0,0.0,0,0,10183
on,ON_frozen,19.458122439694247,0.40733675120276924,-43.91741070580242,-3.1293,2022:-14.7%,1188,0.8803206023437974,30.706052455778984,65.97358147847301,216,12,0
on,ON_capfix,25.278697009660167,0.5166139297198669,-43.460391056963886,-3.1293,2022:-14.7%,1200,0.8897322241787601,30.628786085196044,65.8516856689654,7860,974,9205
on,ON_full,4.392293541833325,0.09833010266990794,-48.44898495075284,-3.1293,2018:-21.5%,2221,1.6051976440585343,19.05627370245967,56.13548141668182,3901,5230,3536
off,OFF,-38.00171568188975,-1.087085198305071,-68.434424317615,-3.605040000000001,2001:-32.0%,1492,1.021555650009108,0.0,0.0,0,0,24381
off,ON_frozen,-52.94202360300165,-1.708687173576351,-69.73378690658582,-3.1293,2001:-30.8%,1489,1.0194911652195033,42.62551617873647,68.90431742927926,407,3,0
off,ON_capfix,-53.416497404100085,-1.7314586854826786,-69.76525122898079,-3.1293,2001:-30.8%,1491,1.0213127694456252,42.60263250263246,68.90206798477644,20108,2300,22079
off,ON_full,-69.77246043989521,-2.6983941978241166,-81.08532040074198,-3.1293000000000006,2001:-29.9%,3516,2.4377314955370695,13.39546069895749,59.69198852346955,9433,12553,8739
