,total_return_%,maxDD_%,worst_trade_%eq,avg_conc,peak_conc,avg_corr,corr_pairs,n_taken,skip_conc
OFF(pub),-38.00171568188975,-68.434424317615,-3.605040000000001,1.021555650009108,2.0,0.2646027947735236,529.0,1492.0,0.0
cap=none,-69.77246043989521,-81.08532040074198,-3.1293000000000006,2.4377314955370695,22.0,0.2783591110814352,8218.0,3516.0,0.0
cap=8,-60.96110466664002,-77.2515744198362,-3.1293000000000006,2.1843463476835265,8.0,0.2722096922294765,5556.0,3186.0,4383.0
cap=6,-63.645893254841305,-76.0319701019751,-3.1293000000000006,1.9429230675815168,6.0,0.2879779570718774,3889.0,2814.0,8549.0
cap=5,-47.88926960709179,-67.59770537396346,-3.1293000000000006,1.746371971582974,5.0,0.28258271852065336,2841.0,2555.0,10383.0
cap=4,-48.26934951934403,-65.70201860739641,-3.1293000000000006,1.5424130183982028,4.0,0.29272696493306966,1944.0,2284.0,13235.0
cap=3,-51.784481645202916,-68.17052739346998,-3.1293000000000006,1.29825733195701,3.0,0.2892364815219266,1133.0,1955.0,16798.0
