,total_return_%,maxDD_%,worst_trade_%eq,avg_conc,peak_conc,avg_corr,corr_pairs,n_taken,skip_conc
OFF(pub),17.734221094051208,-43.844542667557164,-3.6316800000000002,0.892646790940555,4.0,0.2949143304755886,729.0,1200.0,0.0
cap=none,4.392293541833325,-48.44898495075284,-3.1293,1.6051976440585343,16.0,0.2957985847467887,4383.0,2221.0,0.0
cap=8,4.043455341656865,-46.52723898761379,-3.1293,1.4875220110510656,8.0,0.2932357490156431,3371.0,2073.0,1665.0
cap=6,-1.4475906761481694,-47.176808119603166,-3.1293,1.3700892586070799,6.0,0.3000635793507996,2504.0,1908.0,3363.0
cap=5,0.31038173684456716,-49.51835467703376,-3.1293,1.2688080636347077,5.0,0.2987523607982705,1963.0,1779.0,4530.0
cap=4,-3.040471283709645,-46.77923909090793,-3.1293,1.1339486307608233,4.0,0.2975012980371503,1383.0,1585.0,5865.0
cap=3,11.255842008709704,-41.7957640492975,-3.1293,0.9594996660392252,3.0,0.2915670227065215,823.0,1336.0,7555.0
