risk%,pos_cap,worst_trade_%eq,gap_risk_10pct,maxDD_%,pos_med_%eq,pos_p95_%eq,conc_bound_%,capital_bound_%,below_budget_%,n_taken,total_return_%
1.8,none,-3.1293,-11.619924142525056,-41.7957640492975,29.45910814523793,62.9268978966073,0.0,32.33532934131736,32.33532934131736,1336.0,11.255842008709704
1.8,50,-3.0720600000000005,-6.619571132625116,-33.307207982502895,29.83055284439936,50.0,15.095729013254786,27.466863033873345,42.56259204712813,1358.0,51.59844743245774
1.8,33,-2.773307508431375,-4.918429625947152,-38.02984058769805,32.99999999999999,33.0,58.33940276766205,1.6751638747268753,60.014566642388935,1373.0,3.559920507489478
1.8,25,-2.650846592816381,-4.117500000000001,-35.194548858454496,25.0,25.000000000000007,77.83251231527095,0.0,77.83251231527095,1421.0,23.453363057486353
1.8,20,-2.1206772742531044,-3.437640866091412,-32.95626300813065,20.0,20.0,88.33922261484098,0.0,88.33922261484098,1415.0,38.04185058824532
1.8,15,-1.8342,-2.578804615839827,-27.003854839189145,15.0,15.000000000000002,96.26760563380282,0.0,96.26760563380282,1420.0,22.235736141333362
1.25,none,-2.173125,-9.36795377677571,-35.15958747763347,23.56079305997548,50.19910660121716,0.0,13.009845288326302,13.009845288326302,1422.0,36.423064901954795
1.25,50,-2.1731249999999998,-6.1215266493337595,-34.342390099600465,23.59477276211311,49.99999999999999,5.28169014084507,10.28169014084507,15.56338028169014,1420.0,40.02559923681985
1.25,33,-2.133375,-4.424306776020308,-35.932101438943874,24.414485506784324,33.0,30.492957746478872,0.21126760563380279,30.704225352112672,1420.0,44.06962889445312
1.25,25,-2.1009905366904356,-3.6250000000000013,-34.1867247869745,24.414485506784324,25.000000000000007,48.45070422535211,0.0,48.45070422535211,1420.0,31.086669480205465
1.25,20,-1.939629722787671,-3.1240283295906024,-31.672906819783332,20.0,20.0,65.77464788732395,0.0,65.77464788732395,1420.0,24.943130981326213
1.25,15,-1.5936341519544983,-2.5788046158398266,-25.305458928444413,15.0,15.000000000000002,85.77464788732394,0.0,85.77464788732394,1420.0,24.99514252122641
1.0,none,-1.7384999999999997,-8.198413803455225,-25.645040143305543,19.416399847232142,44.22689767486383,0.0,5.081157374735357,5.081157374735357,1417.0,54.34815085194447
1.0,50,-1.7384999999999997,-5.885444035733052,-29.041117711384413,19.414115932312704,44.589373360090484,2.535211267605634,4.014084507042254,6.549295774647887,1420.0,38.45422411838588
1.0,33,-1.7067000000000003,-4.199691738594321,-29.722499453564886,19.53158840542746,33.0,17.74647887323944,0.0,17.74647887323944,1420.0,41.29574965967579
1.0,25,-1.7067000000000003,-3.3986162437758467,-29.297945521624957,19.531588405427456,25.0,33.45070422535211,0.0,33.45070422535211,1420.0,36.10533507948197
1.0,20,-1.6807924293523486,-2.9000000000000004,-27.9874371998173,19.531588405427456,20.0,48.45070422535211,0.0,48.45070422535211,1420.0,27.374416627523424
1.0,15,-1.5056000000000003,-2.395920745920748,-24.996565047996,15.0,15.000000000000002,71.19718309859155,0.0,71.19718309859155,1420.0,21.751923413572438
0.75,none,-1.303875,-8.181323248412559,-25.293659030078175,14.620004806371888,34.73875487463164,0.0,0.49330514446793516,0.49330514446793516,1419.0,26.74603892150218
0.75,50,-1.303875,-5.665702744197833,-23.517385949300607,14.648691304070592,34.73240425723931,0.6338028169014085,0.07042253521126761,0.7042253521126761,1420.0,28.79781553042029
0.75,33,-1.303875,-3.973137971116241,-22.91972192763967,14.648691304070592,32.99999999999999,6.408450704225352,0.0,6.408450704225352,1420.0,31.459710217511837
0.75,25,-1.2800250000000002,-3.174670379631736,-22.747784392594983,14.648691304070592,25.0,17.183098591549296,0.0,17.183098591549296,1420.0,33.036743501636145
0.75,20,-1.280025,-2.674895048240983,-22.52706155971064,14.648691304070592,20.0,30.140845070422532,0.0,30.140845070422532,1420.0,30.767535928866497
0.75,15,-1.2605943220142612,-2.1750000000000003,-21.452594837687812,14.648691304070592,15.000000000000002,48.45070422535211,0.0,48.45070422535211,1420.0,22.230771491555124
